"","DVN.Open","DVN.High","DVN.Low","DVN.Close","DVN.Volume","DVN.Adjusted"
"2021-08-02",25.91,26.76,25.280001,25.49,8739200,23.782171
"2021-08-03",25.26,26.26,24.85,26.209999,10435600,24.45393
"2021-08-04",25.35,26.01,24.82,25.290001,12758800,23.595572
"2021-08-05",25.65,27.049999,25.65,26.629999,10407600,24.845789
"2021-08-06",27.040001,27.459999,26.67,27.01,7952500,25.200331
"2021-08-09",26.33,26.799999,25.969999,26.639999,7787100,24.855122
"2021-08-10",26.860001,27.73,26.809999,27.65,8156400,25.797451
"2021-08-11",27.35,28.1,27.049999,28,6996200,26.124002
"2021-08-12",28.049999,28.530001,27.66,28.469999,7314300,26.562511
"2021-08-13",28.379999,28.719999,27.940001,28.01,5643400,26.133331
"2021-08-16",27.49,27.549999,26.870001,27.17,8975800,25.349611
"2021-08-17",26.9,27.58,26.700001,26.91,8292500,25.107031
"2021-08-18",27.02,27.41,26.09,26.139999,7773700,24.38862
"2021-08-19",25.43,25.83,24.459999,25.34,15530400,23.642221
"2021-08-20",24.959999,25.780001,24.790001,25.700001,8944400,23.978104
"2021-08-23",26.719999,27.370001,26.639999,27.26,7807100,25.433582
"2021-08-24",27.73,28.610001,27.549999,28.530001,10505500,26.618492
"2021-08-25",28.65,29.51,28.200001,29.24,10567000,27.28092
"2021-08-26",29,29.59,28.690001,29.09,11960300,27.14097
"2021-08-27",29.459999,30.41,29.459999,30.360001,13653800,28.325882
"2021-08-30",30.389999,30.549999,29.57,29.780001,7964400,27.784742
"2021-08-31",29.66,30.32,29.42,29.549999,11534800,27.57015
"2021-09-01",29.4,29.59,27.67,28.24,20559000,26.347923
"2021-09-02",28.6,29.969999,28.6,29.32,11711300,27.35556
"2021-09-03",29.209999,29.799999,29,29.17,7305300,27.215611
"2021-09-07",28.9,29.33,28.73,29.059999,5939700,27.112982
"2021-09-08",29.25,29.620001,28.030001,28.23,8874000,26.338593
"2021-09-09",28.01,29.08,27.73,28.450001,9205700,26.543852
"2021-09-10",28.700001,29.030001,28.02,28.07,6582700,26.648279
"2021-09-13",28.690001,29.48,28.57,28.92,9789200,27.455227
"2021-09-14",29.129999,29.290001,27.870001,28.27,9044100,26.83815
"2021-09-15",28.91,30.43,28.879999,30.33,20487900,28.793814
"2021-09-16",30.200001,30.58,29.709999,30.309999,10065400,28.774826
"2021-09-17",30.209999,30.690001,29.719999,29.790001,24716400,28.281166
"2021-09-20",28.43,28.83,27.4,28.18,14190300,26.752708
"2021-09-21",28.82,28.91,27.809999,28.49,11105200,27.047007
"2021-09-22",29.23,30.84,29.209999,30.440001,15922200,28.898241
"2021-09-23",30.58,32.919998,30.49,32.799999,15590400,31.138708
"2021-09-24",32.400002,33.34,32.259998,33.09,10329400,31.414022
"2021-09-27",34,35.09,33.919998,35,17222100,33.227283
"2021-09-28",35.529999,35.970001,34.860001,35.130001,15516900,33.3507
"2021-09-29",34.990002,36.040001,34.540001,35.75,13299100,33.939297
"2021-09-30",35.5,35.91,34.91,35.509998,15487000,33.711449
"2021-10-01",35.860001,37.169998,35.810001,36.810001,14253500,34.94561
"2021-10-04",37.5,39.400002,37.439999,38.759998,19176300,36.796841
"2021-10-05",39.32,40.240002,38.830002,40.080002,19210500,38.049984
"2021-10-06",39.02,39.779999,38.040001,38.68,16983600,36.720894
"2021-10-07",38.810001,38.98,37.52,38.400002,14063200,36.455078
"2021-10-08",39,39.970001,38.82,39.860001,10952800,37.841125
"2021-10-11",40.66,40.860001,39.25,39.450001,10102100,37.451893
"2021-10-12",39.459999,40.23,38.759998,39.25,9319300,37.26202
"2021-10-13",38.580002,39.369999,38.049999,38.990002,7691400,37.015194
"2021-10-14",39.77,39.939999,39.02,39.779999,7627800,37.765175
"2021-10-15",40.25,40.98,40.029999,40.099998,7737500,38.068966
