"","HII.Open","HII.High","HII.Low","HII.Close","HII.Volume","HII.Adjusted"
"2021-11-03",198.419998,200.110001,195.139999,199.949997,410000,196.321442
"2021-11-04",200.850006,201.339996,190.050003,191.309998,380800,187.838242
"2021-11-05",192.470001,195.020004,191.929993,194.020004,300100,190.499069
"2021-11-08",194.229996,195,191.710007,194.130005,246400,190.607086
"2021-11-09",193.199997,195.199997,191.889999,194.75,206000,191.21582
"2021-11-10",194.740005,196.130005,193.75,193.820007,220300,190.302689
"2021-11-11",190.5,191.960007,188.449997,188.869995,337800,185.44252
"2021-11-12",188.880005,192.889999,188.600006,192.020004,290200,188.53537
"2021-11-15",192.220001,192.720001,189.580002,190.410004,235100,186.95459
"2021-11-16",190.320007,191.449997,188.130005,188.320007,231500,184.902512
"2021-11-17",188,188.389999,186.089996,186.690002,187000,183.302094
"2021-11-18",186.860001,186.860001,182.440002,185.190002,370800,181.829315
"2021-11-19",185.410004,186.460007,183.699997,184.779999,223000,181.426758
"2021-11-22",184.910004,191.720001,184.910004,190.5,308000,187.042938
"2021-11-23",190.630005,192.479996,188.210007,189.220001,211900,185.786179
"2021-11-24",187.770004,189.139999,185.660004,186.479996,146200,184.244873
"2021-11-26",181.820007,184.860001,181.149994,183.270004,247700,181.073349
"2021-11-29",184.800003,184.800003,181.190002,181.720001,247800,179.541931
"2021-11-30",179.600006,180.580002,175.5,177.509995,697100,175.382401
"2021-12-01",180,182.970001,176.580002,176.580002,394900,174.463531
"2021-12-02",177.839996,180.389999,176.5,178.289993,470600,176.153046
"2021-12-03",178.789993,181.5,178.720001,181.160004,286000,178.988647
"2021-12-06",183.679993,187.789993,183.380005,185.869995,339700,183.642197
"2021-12-07",185.660004,187.020004,184.570007,184.690002,362100,182.476334
"2021-12-08",184.830002,187.300003,184.5,186.339996,264900,184.106567
"2021-12-09",184.830002,186.179993,182.929993,185.949997,306700,183.721222
"2021-12-10",187.050003,188.020004,184.770004,185.970001,243300,183.740982
"2021-12-13",186,188.449997,184.460007,187.350006,245800,185.104462
"2021-12-14",187.410004,190.940002,185.690002,186.199997,315800,183.968231
"2021-12-15",187.679993,190.160004,183.990005,189.410004,417900,187.139771
"2021-12-16",190.589996,193.660004,188.610001,188.729996,280200,186.467896
"2021-12-17",189.779999,190.139999,183.679993,184.110001,576000,181.90329
"2021-12-20",181.759995,181.759995,176.869995,179.580002,291800,177.427582
"2021-12-21",181.059998,184.940002,181.059998,183.139999,204200,180.944916
"2021-12-22",182.979996,183.990005,179.690002,180.339996,208800,178.178467
"2021-12-23",181.149994,183.009995,181,182.210007,205200,180.026062
"2021-12-27",181.960007,184.380005,181.399994,184.179993,145300,181.972443
"2021-12-28",184,187.240005,184,186.279999,131400,184.047272
"2021-12-29",185.770004,186.720001,185.029999,185.479996,126000,183.256851
"2021-12-30",185.940002,187.289993,184.910004,185.229996,121600,183.009857
"2021-12-31",184.839996,187.330002,183.720001,186.740005,142900,184.501755
"2022-01-03",186.789993,189.190002,185.210007,186.039993,416500,183.810135
"2022-01-04",187.630005,192.589996,187.399994,189.490005,443700,187.218811
"2022-01-05",189.860001,190.75,186.320007,186.990005,424600,184.748764
"2022-01-06",188.669998,191.039993,187.259995,190.600006,294600,188.315506
"2022-01-07",191.770004,194.520004,191.740005,192.960007,365800,190.647217
"2022-01-10",195.009995,196.899994,194.199997,196.199997,491300,193.848373
