"","AME.Open","AME.High","AME.Low","AME.Close","AME.Volume","AME.Adjusted"
"2021-07-27",136.580002,137.839996,135.639999,137.029999,636700,136.144669
"2021-07-28",137.300003,137.779999,135.929993,136.869995,467200,135.985703
"2021-07-29",138.119995,138.839996,137.419998,138.600006,544200,137.704529
"2021-07-30",138.559998,139.690002,138.389999,139.050003,945600,138.151627
"2021-08-02",139.399994,140.100006,137.929993,138.229996,1013200,137.336914
"2021-08-03",137.880005,139.800003,137.009995,138.770004,928800,137.873428
"2021-08-04",139.139999,139.720001,136.429993,136.720001,1085300,135.836685
"2021-08-05",137.470001,137.809998,136.100006,136.899994,885800,136.015503
"2021-08-06",137.889999,138.039993,136.139999,136.820007,1174200,135.936035
"2021-08-09",136.919998,136.919998,135.800003,136.050003,694700,135.171005
"2021-08-10",136.100006,137.160004,136,136.800003,1237100,135.916168
"2021-08-11",137.309998,137.600006,136.630005,137.449997,1282200,136.561951
"2021-08-12",137.559998,137.809998,136.889999,137.25,545700,136.363235
"2021-08-13",137.199997,137.309998,136.240005,137.240005,393300,136.353317
"2021-08-16",137.149994,137.669998,136.100006,137.610001,682400,136.720917
"2021-08-17",136.899994,137.279999,135.190002,136.270004,577000,135.389587
"2021-08-18",135.639999,136.470001,134.880005,135,636900,134.127808
"2021-08-19",133.860001,135.449997,133.600006,134.369995,676000,133.501846
"2021-08-20",134.279999,135.779999,133.869995,134.770004,584400,133.899277
"2021-08-23",135.610001,136.050003,134.940002,135.289993,503300,134.415894
"2021-08-24",135.529999,136.600006,135.490005,136.080002,423400,135.200806
"2021-08-25",136.240005,136.779999,135.380005,136.639999,713700,135.757202
"2021-08-26",136.610001,136.610001,135.820007,135.979996,458900,135.10144
"2021-08-27",136.550003,137.380005,136.410004,136.839996,505100,135.955902
"2021-08-30",137.520004,137.949997,136.729996,137.119995,564100,136.2341
"2021-08-31",137.050003,137.220001,135.679993,135.970001,934700,135.091507
"2021-09-01",136.360001,136.360001,133.899994,134.179993,1035900,133.313065
