"","COF.Open","COF.High","COF.Low","COF.Close","COF.Volume","COF.Adjusted"
"2021-11-12",156.830002,157.330002,155.029999,156.800003,2143700,155.381668
"2021-11-15",156.800003,158.429993,155.839996,156.360001,1772000,154.945648
"2021-11-16",156.5,156.5,152.75,153.820007,2678300,152.428635
"2021-11-17",153.699997,155,151.869995,151.949997,3107900,150.575531
"2021-11-18",152.070007,153.940002,150.470001,152.990005,2485400,151.60614
"2021-11-19",150.5,152.550003,148.520004,151.320007,2754900,149.951233
"2021-11-22",153.369995,154.649994,150.970001,153.210007,2681000,151.824142
"2021-11-23",154,156.740005,153.210007,156.289993,2596000,154.876266
"2021-11-24",155.130005,157.960007,155.059998,155.860001,2308700,154.450165
"2021-11-26",150.539993,150.539993,144.369995,149.160004,3081400,147.810776
"2021-11-29",151.240005,151.729996,145.699997,147.020004,4261600,145.69014
"2021-11-30",145.149994,146,140.179993,140.529999,6024200,139.258835
"2021-12-01",144.5,145.470001,138.350006,138.369995,3540600,137.118362
"2021-12-02",139.710007,145.169998,139,143.360001,3028400,142.063232
"2021-12-03",143.020004,143.75,140.679993,141.899994,2772900,140.61644
"2021-12-06",144.979996,147.850006,143.929993,145.940002,2928700,144.619904
"2021-12-07",147.970001,151.110001,147.279999,148.580002,2840800,147.236023
"2021-12-08",148.889999,150.050003,148.009995,148.809998,2513300,147.463943
"2021-12-09",148.240005,150.710007,147.059998,149.169998,2311500,147.820679
"2021-12-10",150.520004,151.449997,148.5,150.410004,2415300,149.049469
"2021-12-13",149.259995,149.470001,145.570007,146.039993,2608000,144.718994
"2021-12-14",146.619995,149.529999,145.509995,147.919998,2213900,146.582001
"2021-12-15",148.350006,148.660004,144,147.389999,2702700,146.056778
"2021-12-16",149.729996,150.240005,147.350006,148.020004,3341700,146.681091
"2021-12-17",147.350006,147.350006,142.639999,144.080002,9081100,142.776718
"2021-12-20",140.389999,141.199997,136.520004,138.350006,3246500,137.098557
"2021-12-21",140.369995,143.75,140.110001,143.509995,2509900,142.211884
"2021-12-22",142.970001,144.529999,142.130005,143.729996,1669400,142.429886
"2021-12-23",145.259995,146.720001,144.990005,145.100006,1720300,143.787506
"2021-12-27",145.460007,146.089996,143.589996,145.889999,1291800,144.570358
"2021-12-28",144.779999,147.880005,144.550003,146.199997,1025700,144.877548
"2021-12-29",146.199997,146.729996,145.210007,145.589996,1331900,144.273056
"2021-12-30",145.75,147.300003,145.339996,145.490005,1213400,144.173981
"2021-12-31",145.199997,146.729996,144.979996,145.089996,1356300,143.777573
"2022-01-03",146.080002,149.350006,145.940002,148.339996,2381600,146.998184
"2022-01-04",150.429993,152.360001,149.759995,151.149994,3478800,149.782776
"2022-01-05",152.229996,153,148.190002,148.259995,2105900,146.9189
"2022-01-06",149.070007,151.289993,146.199997,150.729996,2622200,149.366577
"2022-01-07",150.630005,155.630005,149.990005,154.690002,3286300,153.290756
"2022-01-10",156.789993,157.860001,154.100006,157.149994,3876900,155.7285
"2022-01-11",157.529999,158.860001,155.910004,158.509995,2178100,157.076202
"2022-01-12",159.529999,161.029999,158.460007,158.789993,2133200,157.353653
"2022-01-13",160.169998,162.300003,159.559998,161.369995,2407300,159.910324
"2022-01-14",156.940002,160.630005,154.520004,160.559998,3633100,159.107651
"2022-01-18",160.619995,162.399994,155.800003,157.080002,2393700,155.659134
"2022-01-19",157.449997,158.100006,151.570007,151.610001,2019100,150.238617
"2022-01-20",151.690002,154.539993,149.830002,150.270004,1962700,148.910736
"2022-01-21",149.449997,149.449997,145.320007,146.520004,2727100,145.194656
"2022-01-24",143.240005,148.649994,140.679993,148.300003,3963500,146.958557
"2022-01-25",146.729996,154.509995,144.589996,152.160004,5634300,150.783646
"2022-01-26",143.949997,149.949997,142.130005,144.899994,7626600,143.58931
"2022-01-27",146.820007,148.600006,140.820007,141.679993,4048700,140.398422
"2022-01-28",140.809998,142.720001,138.600006,142.619995,3599400,141.329926
"2022-01-31",141.339996,147.009995,140.410004,146.729996,3789000,145.402756
"2022-02-01",147,150.860001,145.979996,150.490005,3063900,149.128738
"2022-02-02",149.479996,150.539993,146.929993,149.619995,2446600,148.266617
"2022-02-03",148.910004,151.110001,147.899994,148.289993,1978000,146.948639
"2022-02-04",149,151.880005,148.570007,150.350006,2201200,148.990021
"2022-02-07",150.960007,153.479996,150.320007,152.169998,2300400,150.793549
"2022-02-08",153.5,156.309998,152.639999,155.979996,3376300,154.569077
"2022-02-09",156.940002,159.919998,156.779999,158.839996,2173400,157.403214
"2022-02-10",158.360001,160.5,156.779999,157.509995,2865400,156.085236
"2022-02-11",156.190002,160.380005,154.729996,156,3041600,155.180023
"2022-02-14",156.600006,158.089996,154.350006,155.139999,2598300,154.324554
