"","AIZ.Open","AIZ.High","AIZ.Low","AIZ.Close","AIZ.Volume","AIZ.Adjusted"
"2021-11-03",161.369995,168.380005,161.119995,165.490005,595100,163.489822
"2021-11-04",164.869995,165.240005,162.630005,164.229996,304600,162.245056
"2021-11-05",165.330002,167.139999,160.820007,162.539993,478100,160.57547
"2021-11-08",163.190002,163.830002,160.919998,161.259995,343000,159.310944
"2021-11-09",160.880005,160.910004,158.729996,160.429993,376800,158.490952
"2021-11-10",160.429993,161.610001,158.279999,159.669998,496300,157.740173
"2021-11-11",159.289993,161.539993,157.929993,160.419998,402300,158.481094
"2021-11-12",160.419998,160.800003,158.350006,160.220001,344100,158.283508
"2021-11-15",160.960007,161.479996,159.570007,160.110001,394300,158.174835
"2021-11-16",160.259995,161.839996,159.990005,160.559998,303700,158.6194
"2021-11-17",160.559998,161.520004,158.919998,161.029999,232600,159.083725
"2021-11-18",161.229996,161.789993,159.479996,160.240005,351000,158.303284
"2021-11-19",159.770004,159.880005,157.860001,159.479996,274100,157.55246
"2021-11-22",160.160004,163.940002,159.289993,163.339996,318800,161.365784
"2021-11-23",163.919998,165.360001,163.410004,164.699997,298100,162.709366
"2021-11-24",164.509995,164.820007,161.529999,161.919998,304900,159.962952
"2021-11-26",156.600006,158.309998,155.009995,157.309998,268400,156.064102
"2021-11-29",158.860001,159.419998,155.869995,156.039993,266000,154.804138
"2021-11-30",154.309998,155.149994,151.539993,152.100006,519900,150.895355
"2021-12-01",154.389999,155.800003,149.25,149.270004,503700,148.087784
"2021-12-02",149.789993,154.139999,149.789993,152.949997,531900,151.738617
"2021-12-03",153.860001,154.25,151.330002,152.229996,339100,151.024323
"2021-12-06",153.979996,156.089996,153.710007,154.669998,394200,153.444992
"2021-12-07",155.25,156.75,154.820007,155.979996,363800,154.744629
"2021-12-08",156.130005,157.100006,155.320007,155.729996,379900,154.496613
"2021-12-09",155.119995,156.240005,154.779999,155.720001,262200,154.486679
"2021-12-10",156.690002,157.039993,153.710007,155,363600,153.7724
"2021-12-13",154.389999,155.029999,153.100006,154.110001,283600,152.889435
"2021-12-14",153.990005,156.399994,152.970001,153.509995,313600,152.294174
"2021-12-15",153.820007,153.979996,151.490005,153.479996,530000,152.264435
"2021-12-16",154.75,156.160004,153.399994,153.789993,874700,152.57196
"2021-12-17",153.619995,153.720001,149.309998,150.580002,1499700,149.387405
"2021-12-20",149.240005,149.619995,145.220001,147.550003,504000,146.381409
"2021-12-21",148.539993,152.970001,148.539993,151.270004,467700,150.071945
"2021-12-22",151.270004,152.449997,150.889999,151.699997,308900,150.49852
"2021-12-23",152.529999,153.669998,152.190002,152.279999,187100,151.073929
"2021-12-27",152.119995,153.550003,151.710007,153.360001,178300,152.145386
"2021-12-28",152.949997,154.869995,152.949997,153.839996,221100,152.621582
"2021-12-29",154.130005,155.25,154.130005,154.690002,242000,153.464844
"2021-12-30",155.479996,156.429993,154.75,154.789993,194500,153.564056
