"","ZTS.Open","ZTS.High","ZTS.Low","ZTS.Close","ZTS.Volume","ZTS.Adjusted"
"2021-12-03",224.860001,226.110001,220.479996,223.330002,1479400,222.174469
"2021-12-06",222.889999,225,220.990005,222.970001,1212000,221.81633
"2021-12-07",225.460007,227.479996,224.029999,225.699997,1296800,224.532211
"2021-12-08",227.539993,229.850006,226.740005,229.619995,1441800,228.431915
"2021-12-09",229.5,230.990005,227.309998,230.160004,1107400,228.969131
"2021-12-10",229.899994,231.910004,229.240005,231.449997,1188100,230.252457
"2021-12-13",231.550003,233.029999,229,232.360001,1161000,231.157745
"2021-12-14",230,230.990005,226.440002,228.070007,1762100,226.889954
"2021-12-15",230.270004,232.259995,227.179993,232.080002,1842700,230.879196
"2021-12-16",232.119995,234.070007,230.800003,232.809998,1537700,231.605408
"2021-12-17",232.580002,236.399994,232.229996,234.309998,3042700,233.097656
"2021-12-20",233.990005,234.550003,230.149994,234.259995,1122500,233.047897
"2021-12-21",236,237.979996,232.580002,237.639999,1509500,236.410431
"2021-12-22",238.139999,241.699997,237.639999,241.570007,1136700,240.320099
"2021-12-23",241.699997,244.389999,240.690002,242.509995,1172400,241.255219
