"","EFX.Open","EFX.High","EFX.Low","EFX.Close","EFX.Volume","EFX.Adjusted"
"2021-12-20",272.679993,277.459991,270.440002,275.970001,874000,274.916931
"2021-12-21",277.929993,280.200012,273.76001,280.070007,661100,279.001282
"2021-12-22",279.75,283.75,279.170013,283.399994,418500,282.318573
"2021-12-23",282.929993,288.820007,282.929993,287.029999,478600,285.934723
"2021-12-27",289.200012,291.190002,288.179993,291.100006,277400,289.989197
"2021-12-28",290.75,294.01001,290.75,294.01001,277700,292.888123
"2021-12-29",294.399994,295.940002,293.299988,294.329987,198000,293.206848
"2021-12-30",293.929993,295.329987,291.309998,291.540009,226000,290.427551
"2021-12-31",290.26001,294.589996,289.559998,292.790009,419200,291.67276
"2022-01-03",292.790009,294.929993,282.660004,284,576100,282.91629
"2022-01-04",285.380005,288.549988,282.73999,285.609985,584800,284.520142
