"","ABBV.Open","ABBV.High","ABBV.Low","ABBV.Close","ABBV.Volume","ABBV.Adjusted"
"2021-12-06",119.629997,122.449997,119.209999,121.349998,8939900,117.987907
"2021-12-07",121.980003,122.139999,121,121.510002,6123300,118.143471
"2021-12-08",121.959999,122.440002,120.75,121.870003,5278100,118.4935
"2021-12-09",122.209999,124.459999,122.099998,124.150002,8082300,120.710327
"2021-12-10",123.720001,126.010002,123.720001,125.470001,7059500,121.993752
"2021-12-13",125.199997,127.739998,125.199997,126.510002,7834200,123.004944
"2021-12-14",125.699997,127.849998,125.379997,127.290001,6381400,123.763321
"2021-12-15",128.25,130.779999,127.599998,130.229996,9585600,126.621864
"2021-12-16",130.100006,133.279999,129.910004,131.779999,9569000,128.128922
"2021-12-17",130.839996,131.020004,129.369995,129.529999,12631100,125.941261
"2021-12-20",128.509995,131.389999,128.229996,130.860001,7119200,127.234428
"2021-12-21",131.229996,131.350006,129.149994,129.949997,6085900,126.349625
"2021-12-22",129.910004,132.580002,129.779999,132.050003,7070900,128.391464
"2021-12-23",132.330002,133.770004,132.169998,133.089996,5702300,129.402618
"2021-12-27",133.190002,134.479996,133.160004,134.410004,4436800,130.68605
"2021-12-28",134.550003,135.259995,133.740005,134.389999,4237200,130.666626
"2021-12-29",134.610001,135.869995,134.080002,135.360001,5594300,131.609741
"2021-12-30",135.75,136.830002,135.630005,135.929993,6354300,132.163925
"2021-12-31",136.039993,136.210007,135.300003,135.399994,3963400,131.648621
"2022-01-03",135.410004,135.699997,133.509995,135.419998,6839800,131.668091
"2022-01-04",135.330002,136.220001,134.380005,135.160004,6298300,131.415283
"2022-01-05",135,138.149994,135,135.869995,7724900,132.105606
"2022-01-06",136.399994,136.660004,135.160004,135.229996,4667000,131.483337
"2022-01-07",135.25,135.839996,134.130005,134.880005,8630300,131.143051
"2022-01-10",135.080002,136.899994,134.570007,136.389999,9794400,132.611206
"2022-01-11",135.850006,137.089996,134.800003,136.970001,7159400,133.17514
"2022-01-12",136.520004,137.389999,136.029999,137.289993,6589300,133.486252
"2022-01-13",135,135.119995,132.899994,133.520004,8386400,131.167847
"2022-01-14",133.350006,136.050003,132.289993,135.869995,10484500,133.47644
"2022-01-18",135.509995,137.979996,135.279999,136.779999,12341900,134.370407
"2022-01-19",136.410004,137.5,134.839996,135.210007,6196700,132.828079
"2022-01-20",134.5,134.800003,132.75,133.029999,6612800,130.686478
"2022-01-21",133.059998,134.25,131.669998,131.979996,7583000,129.654968
"2022-01-24",132.820007,133.25,128.259995,132.160004,13733800,129.831802
"2022-01-25",131.490005,134.320007,130.789993,133.089996,10296500,130.745407
"2022-01-26",133.289993,135.479996,132.830002,134.229996,8040300,131.865341
