"","MS.Open","MS.High","MS.Low","MS.Close","MS.Volume","MS.Adjusted"
"2021-05-27",90.099998,90.919998,88.589996,90.300003,21840900,86.833839
"2021-05-28",90.550003,91.279999,89.900002,90.949997,9484800,87.458885
"2021-06-01",92.389999,93.309998,91.870003,92.110001,9576400,88.574356
"2021-06-02",92.510002,93.150002,91.559998,92.760002,6878400,89.199402
"2021-06-03",92.330002,93.919998,92.160004,93.349998,7926800,89.766754
"2021-06-04",93.860001,94.169998,92.639999,93.959999,6406800,90.35334
"2021-06-07",94.230003,94.269997,92.739998,93.209999,6773800,89.632133
"2021-06-08",92.349998,93.190002,91.690002,92.790001,7036300,89.228256
"2021-06-09",92.379997,93.220001,91.790001,92.669998,7811700,89.112854
"2021-06-10",93.5,93.980003,91.529999,91.68,6584900,88.160858
"2021-06-11",91.720001,92.559998,91.690002,92.050003,6509400,88.516663
"2021-06-14",91.790001,91.889999,89.889999,90.720001,10163100,87.237701
"2021-06-15",91.089996,91.199997,89.900002,90.699997,7459000,87.218475
"2021-06-16",90.5,91.639999,89.449997,91.099998,11370300,87.603119
"2021-06-17",91.739998,91.75,87.059998,87.910004,11131600,84.535576
"2021-06-18",86.389999,86.900002,83.910004,84.089996,22453900,80.862206
"2021-06-21",84.57,86.449997,84.220001,85.940002,10672700,82.641197
"2021-06-22",85.860001,86.220001,84.980003,85.699997,9664100,82.4104
"2021-06-23",86.040001,86.32,85.57,85.870003,7139000,82.573891
"2021-06-24",86.459999,87.389999,85.839996,87.080002,7953500,83.737442
"2021-06-25",87.529999,88.620003,86.720001,88.400002,11139000,85.00676
"2021-06-28",88.059998,88.199997,86.43,87.699997,6174600,84.333633
"2021-06-29",91.089996,91.629997,89.779999,90.639999,15413700,87.160782
"2021-06-30",90.169998,91.910004,90.129997,91.690002,9780300,88.170479
"2021-07-01",91.919998,92.230003,91.050003,92.019997,6792200,88.487808
"2021-07-02",91.900002,92.080002,91.330002,92.029999,4818000,88.497429
"2021-07-06",91.75,91.889999,89.660004,90.209999,6701200,86.747276
"2021-07-07",89.639999,90.459999,88.57,90.029999,6771600,86.574196
"2021-07-08",88.099998,88.639999,86.949997,87.639999,8778800,84.275932
"2021-07-09",89.360001,90.620003,88.610001,90.330002,7306500,86.862686
"2021-07-12",90.239998,93.519997,89.760002,92.75,11951100,89.189789
"2021-07-13",92.470001,93.529999,91.739998,93.209999,12280100,89.632133
"2021-07-14",93.120003,93.830002,91.440002,92.459999,12572000,88.910927
"2021-07-15",91.360001,94.059998,91.300003,92.629997,12465900,89.074402
"2021-07-16",93.150002,93.419998,91.099998,91.25,12595400,87.74736
"2021-07-19",89.510002,89.690002,87.580002,89.349998,14043000,85.920296
"2021-07-20",89.139999,93.599998,89,92.32,11522300,88.776299
"2021-07-21",93.239998,96.050003,93.18,95.68,14116900,92.007317
"2021-07-22",95.419998,96.230003,94.839996,95.57,9235300,91.901535
"2021-07-23",96.279999,97.169998,94.190002,94.550003,13222800,90.920692
"2021-07-26",94.370003,96.660004,94.349998,96.540001,11420600,92.834312
"2021-07-27",95.879997,97.050003,95.519997,96.480003,8972900,92.776619
"2021-07-28",96.510002,96.889999,95.550003,96.07,10054000,92.382355
"2021-07-29",96.160004,96.849998,95.529999,96.279999,9016200,93.26384
"2021-07-30",95.940002,97.209999,95.529999,95.980003,8320800,92.973244
"2021-08-02",96.720001,98.400002,95.980003,96.230003,9409600,93.215416
"2021-08-03",96.75,97.029999,94.830002,96.599998,7044800,93.573822
"2021-08-04",95.769997,97.540001,95.559998,96.290001,7137500,93.273529
"2021-08-05",96.839996,97.93,96.839996,97.830002,5675000,94.765282
"2021-08-06",98.629997,99.980003,98.290001,99.730003,9317900,96.605774
"2021-08-09",99.57,100.989998,98.970001,100.739998,8297700,97.584122
"2021-08-10",100.739998,102.93,100.589996,102.040001,8490500,98.843407
"2021-08-11",102.279999,103.93,101.849998,103.879997,8793200,100.625763
"2021-08-12",103.529999,104.720001,103.510002,104.669998,6302100,101.391006
"2021-08-13",104.5,104.769997,102.690002,103.940002,8312200,100.683876
"2021-08-16",103.209999,103.82,102.190002,103.720001,6540300,100.470779
"2021-08-17",102.809998,103.849998,101.599998,102.870003,6492900,99.647408
"2021-08-18",102.379997,103.059998,101.120003,101.260002,7839800,98.087837
"2021-08-19",99.550003,100.75,98.709999,99.730003,10644700,96.605774
"2021-08-20",99.790001,101.019997,99.510002,100.660004,6496900,97.506638
"2021-08-23",101.989998,102.879997,101.720001,102.160004,5430700,98.959648
"2021-08-24",102.690002,103.440002,102.529999,103.089996,5339700,99.860504
"2021-08-25",103.269997,104.970001,103.040001,104.089996,5612100,100.829178
"2021-08-26",104.639999,105.650002,103.669998,103.839996,6882800,100.587013
"2021-08-27",103.889999,105.470001,103.68,105.449997,5900600,102.146584
"2021-08-30",105.629997,105.809998,103.879997,104.089996,6459700,100.829178
"2021-08-31",104.269997,104.709999,103.370003,104.43,7215100,101.158539
"2021-09-01",104.540001,105.080002,103.57,104.309998,5762400,101.04229
"2021-09-02",105.010002,105.510002,104.360001,104.830002,5708400,101.545998
"2021-09-03",104.739998,105.330002,103.769997,104.25,7195400,100.984161
"2021-09-07",104.080002,105.370003,104.07,104.18,6792100,100.916367
"2021-09-08",103.849998,104.57,103.07,103.57,5601000,100.32547
"2021-09-09",103.349998,105.230003,103.300003,103.839996,6145700,100.587013
"2021-09-10",104.43,104.790001,103.209999,103.620003,5958600,100.373909
"2021-09-13",103.839996,104.519997,103.220001,104.400002,6112200,101.129471
"2021-09-14",104.349998,105.400002,101.660004,101.910004,8400600,98.717476
"2021-09-15",102.160004,103.339996,101.809998,103.040001,6691900,99.81208
"2021-09-16",103.510002,104.169998,101.75,102.470001,5881600,99.259933
"2021-09-17",102.129997,103.889999,101.410004,101.75,17485600,98.562485
"2021-09-20",98.75,99.25,96.870003,98.629997,15443800,95.540222
"2021-09-21",99.43,99.730003,97.949997,98.300003,8985600,95.220573
"2021-09-22",99.43,101.82,99.43,100.800003,9497700,97.64225
"2021-09-23",101.760002,103.989998,101.599998,103.550003,6087900,100.306099
"2021-09-24",103.389999,104.129997,102.809998,102.910004,5529300,99.68615
"2021-09-27",103.849998,105.760002,103.830002,105.099998,8195200,101.807533
"2021-09-28",104.269997,105.949997,101.720001,102.040001,14183500,98.843407
"2021-09-29",101.080002,101.610001,99.110001,99.550003,11543000,96.431404
"2021-09-30",100.230003,100.379997,96.25,97.309998,12258400,94.261574
"2021-10-01",97.93,99.910004,97.059998,99.050003,7912700,95.947075
"2021-10-04",99.050003,100.510002,96.970001,97.150002,9482100,94.106598
"2021-10-05",98.220001,99.730003,97.470001,99.199997,8850300,96.092369
"2021-10-06",98.220001,99.459999,97.220001,99.099998,6912700,95.995499
"2021-10-07",100.559998,100.919998,98.690002,98.800003,7959600,95.704903
"2021-10-08",99.019997,100.690002,98.389999,100.040001,5301100,96.906067
"2021-10-11",100.080002,100.68,97.209999,97.290001,7003900,94.24221
"2021-10-12",97.290001,98.720001,96.690002,97.779999,7913300,94.71685
"2021-10-13",98.120003,99.18,96.68,98.57,10170900,95.482101
"2021-10-14",101.220001,101.580002,97.809998,101.010002,14766800,97.845673
"2021-10-15",102.459999,103.220001,101.849998,102.139999,11678100,98.940262
"2021-10-18",101.760002,103.940002,100.550003,101.410004,8924300,98.233139
"2021-10-19",101.550003,102.449997,101.300003,101.75,6189500,98.562485
"2021-10-20",101.080002,101.919998,99.93,100.660004,7426900,97.506638
"2021-10-21",100.360001,101.75,99.57,100.279999,5931400,97.138535
"2021-10-22",100.739998,102.239998,100.57,101.800003,6761500,98.610924
"2021-10-25",102.300003,102.739998,101.660004,101.910004,3836000,98.717476
"2021-10-26",102.120003,103.980003,101.690002,103.470001,7649500,100.228607
"2021-10-27",102.970001,103.839996,101.830002,101.870003,7542400,98.678726
"2021-10-28",101.889999,102.629997,100.800003,102.5,6663000,99.975975
"2021-10-29",102.110001,103.309998,101.93,102.779999,8056900,100.249084
"2021-11-01",103.889999,104.330002,102.690002,104,5432400,101.439041
"2021-11-02",103.93,105.339996,103.370003,104.660004,7191700,102.082794
"2021-11-03",104.389999,104.730003,101.879997,102.610001,9009000,100.083267
"2021-11-04",102.230003,102.309998,98.169998,99.790001,14823800,97.33271
"2021-11-05",101.330002,101.980003,99.730003,99.870003,8449600,97.410736
