"","SYF.Open","SYF.High","SYF.Low","SYF.Close","SYF.Volume","SYF.Adjusted"
"2021-10-11",50.139999,50.779999,49.02,49.060001,3353300,47.964523
"2021-10-12",49.029999,50.035,48.84,49.689999,3489800,48.580448
"2021-10-13",49.43,49.700001,47.445,48.400002,4405400,47.31926
"2021-10-14",49.279999,49.610001,48.48,49.57,3467300,48.463135
"2021-10-15",50.299999,50.814999,50.139999,50.18,4223500,49.059513
"2021-10-18",50,51.275002,50,51.009998,5376900,49.870983
"2021-10-19",51.095001,52.490002,51.009998,52.360001,4948500,51.190834
"2021-10-20",51.32,52.099998,50,51.939999,4803800,50.780212
"2021-10-21",51.880001,52.07,48.84,49.09,8938700,47.993851
"2021-10-22",49.27,49.904999,48.720001,49.189999,9095900,48.091614
"2021-10-25",49.450001,50.165001,48.575001,48.889999,7832400,47.798317
"2021-10-26",49.310001,49.360001,48.049999,48.950001,5653000,47.856976
"2021-10-27",48.610001,48.810001,46.639999,46.68,8343900,45.637665
"2021-10-28",46.869999,47.169998,45.860001,46.869999,5718000,45.823421
"2021-10-29",47.41,47.669998,46.349998,46.450001,4615600,45.626965
"2021-11-01",46.830002,47.455002,46.825001,47.369999,4803000,46.530663
"2021-11-02",47.5,47.695,46.849998,47.380001,4723700,46.540489
"2021-11-03",47.220001,48.705002,47.099998,48.200001,5354600,47.345959
"2021-11-04",48.080002,48.57,47.595001,47.990002,4622200,47.139679
"2021-11-05",48.580002,49.395,48.439999,49.189999,4948400,48.318413
"2021-11-08",49.66,50.279999,49.18,49.259998,3811300,48.387177
"2021-11-09",48.810001,49.349998,48.5,49.310001,3537500,48.436295
"2021-11-10",49.110001,50.439999,49.110001,49.490002,3558200,48.613102
"2021-11-11",49.709999,50.240002,49.52,49.709999,2572100,48.829201
"2021-11-12",49.599998,50.189999,49.290001,50.18,2755300,49.290878
"2021-11-15",50.330002,51.084999,50,50.130001,3361800,49.241764
"2021-11-16",50.16,50.424999,48.625,49.619999,5033900,48.740799
"2021-11-17",49.380001,49.799999,48.549999,48.59,4075200,47.729046
"2021-11-18",48.68,48.990002,47.799999,48.349998,3826400,47.493301
"2021-11-19",47.889999,48.560001,47.505001,47.880001,4632500,47.031631
"2021-11-22",48.5,49.02,47.740002,48.349998,4372500,47.493301
"2021-11-23",48.560001,49.990002,48.549999,49.709999,3918300,48.829201
"2021-11-24",49.310001,50.299999,49.310001,49.77,3709500,48.888142
"2021-11-26",47.799999,48.130001,46.400002,47.68,4375300,46.835171
"2021-11-29",48.189999,48.57,46.814999,47.119999,4586500,46.285095
"2021-11-30",46.259998,46.639999,44.400002,44.790001,13313900,43.99638
"2021-12-01",46.099998,46.560001,43.720001,43.759998,5843800,42.984631
"2021-12-02",44.119999,46.077999,44,45.639999,6201000,44.831318
"2021-12-03",45.875,46.029999,44.75,45.279999,5608000,44.477699
"2021-12-06",46.259998,47.200001,46,46.34,5914500,45.518917
"2021-12-07",46.860001,48.035,46.75,47.59,5714800,46.746765
"2021-12-08",47.639999,47.77,47.23,47.310001,4236700,46.471729
