"","NSC.Open","NSC.High","NSC.Low","NSC.Close","NSC.Volume","NSC.Adjusted"
"2021-12-02",270.679993,282.049988,269.480011,278.820007,2057300,276.285065
"2021-12-03",280.829987,286.600006,278.140015,281.23999,2138200,278.683044
"2021-12-06",284.070007,289.829987,282.679993,287.230011,1472200,284.618622
"2021-12-07",289.299988,291.730011,286.820007,287.459991,1308700,284.846497
"2021-12-08",287.519989,289.01001,284.630005,286.5,910100,283.895233
"2021-12-09",285.679993,289.299988,283.579987,286.950012,905400,284.341156
"2021-12-10",288.76001,290.329987,287.029999,289.529999,969200,286.897675
"2021-12-13",288.190002,291.029999,283.950012,284.48999,1704600,281.903503
"2021-12-14",284.5,286.98999,282,283.73999,1148400,281.160309
"2021-12-15",285.149994,287.859985,282.980011,287.769989,1047500,285.153687
"2021-12-16",289,291.880005,287.709991,290.410004,1349600,287.769684
"2021-12-17",290.220001,290.220001,284.23999,284.790009,2517700,282.200806
"2021-12-20",281.730011,281.98999,277.5,281.450012,1216000,278.891144
"2021-12-21",284,286.130005,282.380005,285.170013,952000,282.577332
"2021-12-22",284.420013,286.929993,283.380005,285.290009,794100,282.696259
"2021-12-23",285.100006,289.429993,284.98999,287.529999,1354200,284.915863
"2021-12-27",288.619995,292,287.790009,291.529999,951300,288.879517
"2021-12-28",291.170013,295,291.170013,293.290009,935700,290.623535
"2021-12-29",293.329987,296.640015,292.75,295.75,610200,293.061127
