"","PGR.Open","PGR.High","PGR.Low","PGR.Close","PGR.Volume","PGR.Adjusted"
"2021-11-19",90.349998,91.230003,89.660004,90.300003,2581400,88.745071
"2021-11-22",90.610001,92.839996,90.480003,92.050003,2659900,90.464943
"2021-11-23",92.889999,94.75,92.089996,94.519997,3257600,92.892403
"2021-11-24",94.43,95.910004,93.980003,95.639999,2449600,93.993126
"2021-11-26",94.349998,95.910004,94.059998,94.589996,1817400,92.961197
"2021-11-29",95.209999,95.620003,93.400002,94.970001,2134000,93.334663
"2021-11-30",94.150002,94.660004,92.440002,92.940002,6405100,91.339622
"2021-12-01",93.959999,95.360001,93.110001,93.129997,2961500,91.526344
"2021-12-02",93.599998,96.879997,93.360001,96,2787000,94.346924
"2021-12-03",96.129997,96.309998,94.169998,95.220001,2605700,93.58036
"2021-12-06",96.43,97.129997,95.959999,96.790001,2788400,95.123322
"2021-12-07",97.160004,97.419998,96.300003,96.809998,2876800,95.142975
"2021-12-08",96.940002,97.279999,94.879997,95.120003,2397200,93.482079
"2021-12-09",94.360001,95.580002,94.110001,95.25,2584800,93.60984
"2021-12-10",95.760002,95.910004,94.739998,95.059998,2385800,93.423111
"2021-12-13",94.709999,97.290001,94.629997,96.690002,3029800,95.02504
"2021-12-14",96.860001,98,96.699997,97.139999,2939400,95.467293
"2021-12-15",98,103.169998,97.739998,101.809998,5645000,100.05687
"2021-12-16",101.18,103.769997,101.160004,103.019997,4065400,101.24604
"2021-12-17",101.699997,102.300003,99.730003,100.970001,5842000,100.697525
"2021-12-20",100.199997,101.669998,99.279999,101.519997,2560800,101.24604
"2021-12-21",102.029999,103.099998,100.669998,101.220001,3429400,100.946854
"2021-12-22",101.349998,101.349998,100.089996,101.160004,1629700,100.887016
"2021-12-23",101.5,102.209999,101.07,101.25,2133300,100.976776
"2021-12-27",101.459999,103.339996,101.379997,103.32,1306100,103.041176
"2021-12-28",103.300003,104.07,103.260002,103.349998,1833600,103.071098
"2021-12-29",103.419998,104.589996,103.419998,103.970001,1785500,103.689438
"2021-12-30",104.230003,104.660004,102.959999,103.050003,1165200,102.771919
"2021-12-31",103.230003,103.690002,102.629997,102.650002,1347600,102.372993
"2022-01-03",102.5,102.830002,101.32,102,2088700,101.724747
"2022-01-04",102.239998,102.620003,101.480003,102.160004,2773000,101.884315
