"","SNA.Open","SNA.High","SNA.Low","SNA.Close","SNA.Volume","SNA.Adjusted"
"2021-08-03",219.850006,223.759995,217.509995,223.270004,247500,217.683197
"2021-08-04",222.139999,224.240005,221.399994,221.479996,372200,215.937973
"2021-08-05",223.210007,224.889999,221.619995,222.949997,326000,217.371201
"2021-08-06",224.779999,226.100006,223.160004,224.440002,269300,218.823929
"2021-08-09",223.139999,224.779999,222.330002,223.460007,195800,217.868454
"2021-08-10",223.610001,227.270004,222.830002,225.350006,278600,219.711151
"2021-08-11",226,230.089996,224.600006,229.839996,290400,224.088791
"2021-08-12",230.429993,231.550003,226.880005,227.830002,207400,222.129105
"2021-08-13",227.970001,230.429993,227.240005,230.139999,461700,224.381287
"2021-08-16",229.800003,231.669998,227.649994,231.630005,211300,225.834015
"2021-08-17",229.809998,229.809998,224.660004,225.929993,350800,220.276627
"2021-08-18",225,225,220.130005,220.350006,330100,214.836273
"2021-08-19",216.830002,218.839996,214.830002,216.380005,302200,212.149841
"2021-08-20",216.5,219.800003,215.119995,219.529999,240300,215.238235
"2021-08-23",221.800003,223.309998,221.080002,222.160004,278200,217.816818
"2021-08-24",222.759995,226.979996,222.190002,225.339996,428500,220.934662
"2021-08-25",225.470001,228.289993,225.020004,226.270004,300100,221.846481
"2021-08-26",226.020004,226.380005,224.229996,224.830002,197100,220.434631
"2021-08-27",225.550003,228.580002,224.860001,227.240005,203100,222.797516
"2021-08-30",227.809998,228.910004,225.759995,226.160004,150900,221.738632
"2021-08-31",226.720001,226.720001,223.369995,224.949997,403600,220.552277
"2021-09-01",225.509995,226.399994,222.660004,224.929993,318600,220.532669
"2021-09-02",226.25,228.320007,224.860001,228.220001,256500,223.758347
"2021-09-03",227.539993,228.710007,226.130005,226.899994,174100,222.464157
"2021-09-07",225.610001,225.720001,221.589996,221.830002,248000,217.493286
"2021-09-08",221.029999,223.419998,220.520004,223.309998,260900,218.944351
"2021-09-09",222.300003,223.029999,218.570007,220.309998,227100,216.002991
