"","DE.Open","DE.High","DE.Low","DE.Close","DE.Volume","DE.Adjusted"
"2021-11-29",366,367,346.359985,348.089996,2902000,344.885132
"2021-11-30",346.200012,352.230011,341.850006,345.540009,3681500,342.358582
"2021-12-01",353.619995,353.730011,341.399994,341.549988,1755200,338.405334
"2021-12-02",344.880005,354.119995,343.459991,350.619995,1969800,347.391815
"2021-12-03",352.619995,353.040009,345,349.23999,1379600,346.024536
"2021-12-06",352.75,357.899994,350.51001,354.51001,1543500,351.246033
"2021-12-07",359.690002,366.970001,359.149994,361.339996,1478900,358.013153
"2021-12-08",362.279999,364,357.76001,361.059998,1182900,357.735687
"2021-12-09",359.850006,364.309998,358,361.920013,897900,358.587799
"2021-12-10",362.859985,364,357.339996,358.359985,1200600,355.060547
"2021-12-13",359.119995,361.470001,349.380005,351.420013,1375000,348.184448
"2021-12-14",349.880005,354.350006,346.01001,348.549988,1799800,345.340851
"2021-12-15",349.48999,350.179993,338.019989,343.940002,1982700,340.773315
"2021-12-16",349.769989,351.769989,347,348.290009,1945200,345.083282
"2021-12-17",349.299988,350.380005,341.559998,347.029999,2976500,343.834869
"2021-12-20",342.940002,343.5,336.320007,338.660004,1784700,335.541931
"2021-12-21",342.769989,352.519989,342.160004,349.809998,1518500,346.589264
"2021-12-22",349.079987,351.600006,343.540009,347,1582400,343.805145
"2021-12-23",348,351.48999,346.299988,349.220001,997800,346.00473
"2021-12-27",350,351.76001,348.450012,350.75,953100,347.52063
"2021-12-28",349.279999,353.140015,348.890015,349.769989,718700,346.549652
"2021-12-29",348.359985,349.309998,345.5,345.709991,1417300,342.527008
"2021-12-30",345.809998,348.049988,341.839996,342.029999,1538800,339.9133
"2021-12-31",342.329987,343.940002,341.059998,342.890015,1004700,340.768005
"2022-01-03",344,350.299988,343.98999,350.109985,1570700,347.943268
