"","WRB.Open","WRB.High","WRB.Low","WRB.Close","WRB.Volume","WRB.Adjusted"
"2021-10-06",49.799999,51.133331,49.599998,51.086666,1053000,49.812927
"2021-10-07",51.313332,52.286667,51.313332,51.639999,1040700,50.352467
"2021-10-08",51.573334,52.006668,51.34,51.433334,877050,50.150955
"2021-10-11",51.613335,51.993332,51.02,51.040001,613350,49.767429
"2021-10-12",51.040001,51.580002,50.919998,50.973331,684150,49.702419
"2021-10-13",50.779999,50.860001,49.939999,50.740002,833100,49.474907
"2021-10-14",51.040001,51.700001,50.906666,51.66,700500,50.371967
"2021-10-15",52.099998,52.213333,51.82,51.853333,652350,50.560478
"2021-10-18",51.666668,51.700001,50.833332,50.933334,815100,49.663422
"2021-10-19",51.646667,51.84,51.426666,51.646667,771900,50.358971
"2021-10-20",51.413334,52.386665,51.413334,52.32,687000,51.015511
"2021-10-21",52.233334,52.84,52.053333,52.593334,780900,51.282032
"2021-10-22",53.700001,55.16,53.259998,54.84,2026500,53.472683
"2021-10-25",55.060001,55.173332,54.380001,54.626667,1509150,53.264668
"2021-10-26",54.726665,54.853333,54.406666,54.566666,590550,53.206165
"2021-10-27",54.653332,54.82,53.493332,53.506668,1017900,52.172592
"2021-10-28",53.779999,54.206669,53.513332,53.953335,556800,52.608124
"2021-10-29",54,54.033333,52.873333,53.066666,900750,51.743561
"2021-11-01",53.18,53.393333,52.833332,53.373333,697800,52.042583
"2021-11-02",53.560001,54.513332,53.393333,54.413334,774150,53.056656
"2021-11-03",54.413334,54.926666,54.126667,54.400002,828900,53.043652
"2021-11-04",54.200001,54.213333,52.720001,52.926666,898500,51.607052
"2021-11-05",53.313332,53.98,53.099998,53.720001,760500,52.380608
"2021-11-08",54.193333,54.453335,53.833332,54.279999,756450,52.926643
"2021-11-09",54.060001,54.360001,53.646667,54.213333,673950,52.861641
"2021-11-10",54.279999,54.626667,54.099998,54.226665,750750,52.874641
"2021-11-11",54.16,54.426666,53.82,54.200001,520350,52.84864
"2021-11-12",54.16,54.433334,53.653332,54.153332,869100,52.803139
"2021-11-15",54.299999,54.473331,53.720001,53.893333,968850,52.549618
"2021-11-16",54.106667,54.700001,53.706669,54.073334,1171800,52.725128
"2021-11-17",53.893333,54.566666,53.093334,54.439999,1176150,53.082653
"2021-11-18",54.613335,54.900002,54.093334,54.586666,758700,53.225662
"2021-11-19",54.439999,54.439999,53.493332,53.526669,663000,52.192097
"2021-11-22",53.759998,55.560001,53.453335,55.006668,1039050,53.635193
"2021-11-23",55.626667,56.619999,55.626667,56.333332,1375500,54.92878
"2021-11-24",56.259998,56.353333,55.113335,55.666668,1066200,54.278736
"2021-11-26",54.066666,54.413334,52.986668,53.646667,927900,52.309101
