"","NXPI.Open","NXPI.High","NXPI.Low","NXPI.Close","NXPI.Volume","NXPI.Adjusted"
"2021-12-09",225.350006,228.559998,224.75,225.160004,1990800,222.404831
"2021-12-10",228.559998,228.880005,223.029999,226.460007,1751500,223.688904
"2021-12-13",228.380005,228.380005,220.059998,221.789993,1966600,219.07605
"2021-12-14",218.910004,221.630005,216.75,219.990005,1687300,217.851074
"2021-12-15",221.339996,229.619995,218.779999,229.380005,2565700,227.14978
"2021-12-16",228.839996,229.309998,217.649994,217.949997,3223800,215.830917
"2021-12-17",216.240005,222.539993,214.449997,218.710007,4657400,216.583527
"2021-12-20",215.490005,219.690002,214.610001,217.649994,1336100,215.533829
"2021-12-21",221.550003,224.699997,219.050003,224.369995,1603700,222.188492
"2021-12-22",223.050003,226.880005,221.710007,226.759995,1057900,224.555237
"2021-12-23",226.759995,229.190002,226.259995,227.350006,920300,225.139511
"2021-12-27",228.649994,232.850006,227.600006,232.779999,1235800,230.516708
