"","ETR.Open","ETR.High","ETR.Low","ETR.Close","ETR.Volume","ETR.Adjusted"
"2021-10-07",103.339996,104.620003,103.18,103.459999,1123800,100.646118
"2021-10-08",103.379997,103.940002,102.639999,103.190002,942800,100.383461
"2021-10-11",102.919998,103.370003,101.889999,102.68,1073800,99.887337
"2021-10-12",102.949997,103.769997,102.400002,102.809998,703200,100.013802
"2021-10-13",102.220001,103.040001,101.629997,102.559998,1072600,99.770599
"2021-10-14",102.800003,103.790001,102.599998,103.480003,809200,100.665581
"2021-10-15",103.809998,104.190002,102.209999,102.25,1543500,99.469032
"2021-10-18",101.419998,102.07,100.260002,101.769997,1284300,99.002075
"2021-10-19",102,102.32,101.639999,102.059998,568700,99.284203
"2021-10-20",102.389999,104.68,102.330002,104.050003,641600,101.220078
"2021-10-21",104.040001,104.639999,103.839996,103.919998,625100,101.093613
"2021-10-22",104.379997,105.190002,104.209999,104.610001,661800,101.764847
"2021-10-25",104.480003,104.599998,103.699997,103.790001,674900,100.967148
"2021-10-26",103.910004,104.900002,103.830002,103.900002,643000,101.07415
"2021-10-27",104.360001,104.57,102.949997,103.110001,823700,100.305641
"2021-10-28",103.019997,103.660004,102.129997,102.800003,796200,100.004074
"2021-10-29",102.639999,103.879997,102.220001,103.019997,1557200,100.218079
"2021-11-01",102.989998,104.550003,102.690002,103.489998,940400,100.675301
"2021-11-02",103.510002,103.910004,101.919998,103.800003,1658900,100.976875
"2021-11-03",104.510002,106.190002,102.540001,103.360001,1372900,100.548843
"2021-11-04",103.400002,104,101.879997,102.900002,1711200,100.101349
"2021-11-05",103.260002,104.620003,103.25,104.25,1328300,101.414635
"2021-11-08",104.43,104.43,100.260002,101.080002,1257000,98.330849
"2021-11-09",101.300003,102.489998,101.099998,102.32,1720000,99.537132
"2021-11-10",102.639999,103.5,102.43,103.440002,1460400,100.626663
"2021-11-11",103.400002,104.510002,102.419998,103.129997,1340100,100.325089
"2021-11-12",102.129997,102.379997,100.300003,101.599998,1027200,99.814232
"2021-11-15",102.410004,105.07,102.25,105.040001,1564900,103.193779
"2021-11-16",105.410004,106.040001,105,105.32,1417900,103.468849
"2021-11-17",105.019997,105.959999,104.32,105.779999,915900,103.920769
"2021-11-18",105.879997,106.25,104.919998,105.480003,968300,103.626038
"2021-11-19",105.739998,106.190002,105.449997,105.949997,1395300,104.087776
"2021-11-22",105.550003,107.589996,105.360001,107.300003,1181500,105.414055
"2021-11-23",107.199997,107.32,105.919998,106.300003,1702700,104.431625
"2021-11-24",106.379997,106.730003,105.129997,106.400002,1175900,104.529869
"2021-11-26",105.480003,106.330002,102.660004,103.089996,898900,101.278038
"2021-11-29",104,105.589996,103.349998,105.07,1260400,103.223244
"2021-11-30",104.400002,104.580002,100.330002,100.339996,2155500,98.576378
"2021-12-01",101.309998,102.870003,100.330002,100.400002,1124900,98.63533
"2021-12-02",100.879997,103.230003,100.879997,101.989998,1150600,100.19738
"2021-12-03",102.779999,103.349998,101.209999,103.260002,972800,101.445053
"2021-12-06",104.639999,106.93,104.010002,104.919998,1393800,103.075882
"2021-12-07",104.839996,105.529999,104.330002,104.849998,802200,103.007111
"2021-12-08",105.029999,106.190002,104.529999,105.510002,1053100,103.65551
"2021-12-09",105.589996,107.18,105,106.25,1430100,104.382507
