"","RSG.Open","RSG.High","RSG.Low","RSG.Close","RSG.Volume","RSG.Adjusted"
"2021-05-24",110.089996,110.290001,109.239998,109.389999,910800,107.446129
"2021-05-25",109.199997,109.589996,108.419998,108.629997,1410900,106.699638
"2021-05-26",108.089996,108.720001,107.669998,107.959999,1212200,106.041527
"2021-05-27",108.339996,109.080002,107.440002,109,2564400,107.063065
"2021-05-28",109.779999,109.919998,108.919998,109.18,872100,107.239861
"2021-06-01",109.75,109.839996,108.260002,108.370003,1084200,106.444267
"2021-06-02",108.629997,108.989998,108.050003,108.959999,1132300,107.023758
"2021-06-03",108.949997,109.120003,108.279999,108.889999,666400,106.955009
"2021-06-04",109.169998,109.410004,108.410004,109.230003,866200,107.288971
"2021-06-07",109.5,109.589996,108.059998,108.559998,1095300,106.630882
"2021-06-08",108.839996,109.400002,108.370003,109.010002,1126400,107.072884
"2021-06-09",108.940002,109.510002,108.760002,109.230003,867300,107.288971
"2021-06-10",109.629997,109.870003,109.059998,109.099998,639400,107.161278
"2021-06-11",109.25,109.629997,108.959999,109.57,764400,107.622925
"2021-06-14",109.68,109.769997,109.129997,109.639999,768400,107.691689
"2021-06-15",109.660004,110.650002,109.029999,110.620003,1006900,108.654274
"2021-06-16",110.870003,110.870003,109.029999,109.199997,1295400,107.259499
"2021-06-17",109.419998,109.43,107.919998,108.620003,1073100,106.689819
"2021-06-18",107.610001,107.879997,106.459999,106.519997,2127600,104.627121
"2021-06-21",107.279999,108.540001,107.029999,108.43,1161700,106.503181
"2021-06-22",108.349998,109.129997,108.089996,108.769997,712800,106.837143
"2021-06-23",108.779999,108.860001,107.800003,107.849998,806000,105.933495
"2021-06-24",108.220001,108.830002,107.709999,108.330002,866800,106.404961
"2021-06-25",108.379997,108.910004,108.110001,108.800003,1121200,106.866615
"2021-06-28",108.639999,108.959999,108.099998,108.779999,1532000,106.84697
"2021-06-29",108.910004,110.010002,108.639999,109.68,1611300,107.73098
"2021-06-30",109.400002,110.230003,109.059998,110.010002,2020800,108.475449
"2021-07-01",110.730003,110.949997,110.07,110.610001,1100100,109.067062
"2021-07-02",110.660004,112.010002,110.389999,111.410004,1348300,109.855919
"2021-07-06",111.550003,112.300003,110.940002,112.220001,1598400,110.65461
"2021-07-07",112.190002,114.099998,111.949997,114,1573700,112.409782
"2021-07-08",112.93,113.57,112.080002,112.400002,1092000,110.832108
"2021-07-09",112.839996,113.110001,112.139999,112.669998,765000,111.098343
"2021-07-12",112.709999,112.809998,112.290001,112.650002,744900,111.078613
"2021-07-13",114.709999,114.900002,112.489998,112.610001,1200200,111.039169
"2021-07-14",112.650002,113.889999,112.580002,113.849998,944000,112.261879
"2021-07-15",113.379997,114.809998,113.269997,114.529999,1094500,112.932388
"2021-07-16",114.940002,116.209999,114.629997,115.239998,957400,113.632477
"2021-07-19",114.339996,114.599998,112.620003,113.730003,1097800,112.143555
"2021-07-20",114,116.190002,113.980003,115.099998,1060900,113.494446
"2021-07-21",115.57,115.589996,114.800003,114.879997,849100,113.277504
"2021-07-22",114.980003,115.339996,114.269997,115.019997,631800,113.41555
"2021-07-23",115.110001,116.300003,115.029999,116.18,482600,114.55938
"2021-07-26",116.050003,116.349998,115.470001,115.82,1122100,114.204399
"2021-07-27",115.800003,117.339996,115.559998,116.110001,886400,114.490356
"2021-07-28",115.790001,116.07,115.050003,115.349998,782100,113.740952
"2021-07-29",115.910004,116.419998,115.480003,115.480003,928700,113.869141
"2021-07-30",115.360001,118.559998,115.360001,118.360001,2013100,116.708961
"2021-08-02",118.760002,118.910004,117.050003,118,1054500,116.353981
"2021-08-03",118.190002,120.129997,117.779999,119.739998,1571100,118.069717
"2021-08-04",119.550003,120.529999,118.760002,119.160004,990400,117.49781
"2021-08-05",119.510002,119.879997,117.730003,118.230003,1091000,116.58078
"2021-08-06",118.129997,119.470001,117.879997,118.309998,832700,116.659668
"2021-08-09",118.5,118.650002,117.660004,117.82,771600,116.176498
"2021-08-10",117.760002,118.459999,117.239998,117.440002,745900,115.801804
"2021-08-11",117.669998,119.739998,117.599998,119.669998,973800,118.000687
"2021-08-12",119.629997,120.43,119.580002,120.089996,1246700,118.414841
"2021-08-13",120.489998,120.779999,120.059998,120.57,518100,118.888138
"2021-08-16",120.410004,121.769997,119.940002,121.720001,716100,120.022102
"2021-08-17",121.599998,121.919998,120.709999,121.410004,641300,119.716423
"2021-08-18",120.93,121.25,119.279999,119.389999,998500,117.724602
"2021-08-19",118.82,121.480003,118.559998,121.120003,856000,119.430466
"2021-08-20",121,122.32,120.559998,122.099998,1185000,120.396797
"2021-08-23",122.449997,122.599998,121.440002,121.580002,721700,119.884048
"2021-08-24",122.230003,122.519997,121.580002,122.440002,857300,120.732063
"2021-08-25",122.580002,122.809998,122.269997,122.660004,1011300,120.948982
"2021-08-26",122.75,123.18,122.349998,123.059998,790400,121.343399
"2021-08-27",123.519997,124.029999,123.260002,123.559998,1126900,121.836426
"2021-08-30",123.800003,124.57,123.389999,124.269997,716300,122.536514
"2021-08-31",124.129997,124.910004,123.559998,124.129997,1319700,122.398483
"2021-09-01",123.519997,124.949997,123.029999,124.82,725700,123.07885
"2021-09-02",125.290001,126.120003,124.739998,126.099998,790000,124.341003
"2021-09-03",126,126.059998,125.269997,125.470001,906100,123.719795
"2021-09-07",125.239998,125.239998,123.239998,123.339996,1293400,121.619499
"2021-09-08",123.230003,125.089996,123,124.620003,1098400,122.881645
"2021-09-09",124.559998,124.870003,123.809998,123.989998,939800,122.260429
"2021-09-10",124.230003,124.910004,123.739998,124.239998,921000,122.506943
"2021-09-13",124.93,126.150002,124.129997,124.830002,1208300,123.088715
"2021-09-14",125.110001,125.959999,124.699997,124.949997,966200,123.207039
"2021-09-15",124.879997,126.25,124.660004,125.279999,871000,123.53244
"2021-09-16",125.339996,125.650002,123.989998,124.050003,1013700,122.319595
"2021-09-17",123.18,123.860001,122.709999,123.440002,2720200,121.718102
