"","ATO.Open","ATO.High","ATO.Low","ATO.Close","ATO.Volume","ATO.Adjusted"
"2021-08-24",98.029999,98.519997,97.050003,98.120003,840100,96.202263
"2021-08-25",98.110001,98.110001,97.089996,97.489998,644100,95.584572
"2021-08-26",97.370003,97.440002,96.519997,96.699997,399100,94.810005
"2021-08-27",96.889999,97.540001,96.650002,97.379997,345400,95.476715
"2021-08-30",97.389999,97.800003,97.07,97.470001,366500,95.564957
"2021-08-31",97.290001,97.690002,96.870003,97.510002,767300,95.604179
"2021-09-01",97.970001,98.589996,97.540001,98.25,668400,96.32972
"2021-09-02",98.269997,98.580002,97.610001,98.300003,684100,96.378738
"2021-09-03",97.970001,98.25,97.470001,97.5,598500,95.594376
"2021-09-07",97.220001,97.410004,95.830002,96.129997,614800,94.251144
"2021-09-08",96.029999,98.239998,95.660004,97.650002,632300,95.741432
"2021-09-09",97.529999,97.529999,96.160004,96.190002,857000,94.309975
"2021-09-10",96.150002,96.349998,93.040001,93.120003,906500,91.299988
"2021-09-13",93.629997,93.949997,91.949997,92.18,905600,90.378349
"2021-09-14",92.339996,92.760002,90.839996,91.279999,1030700,89.495941
"2021-09-15",91.089996,91.610001,89.25,89.559998,763300,87.809555
"2021-09-16",89.459999,90.360001,89.040001,89.760002,627900,88.005653
"2021-09-17",89.410004,89.989998,89.07,89.089996,1175300,87.34874
"2021-09-20",88.730003,89.800003,88.169998,89.129997,871600,87.387962
"2021-09-21",89.440002,90.309998,88.760002,88.779999,875400,87.0448
"2021-09-22",89.120003,89.57,88.550003,88.75,670500,87.015388
"2021-09-23",88.709999,89.389999,88.029999,88.129997,448200,86.407509
"2021-09-24",88.389999,89.300003,88.199997,88.220001,530600,86.49575
"2021-09-27",88.349998,89.669998,87.470001,87.580002,743700,85.868263
"2021-09-28",87.989998,88.160004,85.800003,86.690002,715800,84.995651
"2021-09-29",86.690002,88.980003,86.559998,88.910004,1005500,87.172264
"2021-09-30",89.110001,89.370003,87.93,88.199997,1549000,86.476135
"2021-10-01",88.669998,89.25,87.800003,88.779999,798400,87.0448
"2021-10-04",88.860001,91.139999,88.739998,90.550003,1013900,88.780212
"2021-10-05",90.699997,90.779999,89.739998,90.010002,811000,88.250763
"2021-10-06",89.550003,90.230003,88.440002,90.160004,1177100,88.397842
"2021-10-07",89.209999,90.589996,89.160004,89.760002,981700,88.005653
"2021-10-08",89.940002,90.260002,89.629997,89.959999,616300,88.201736
"2021-10-11",89.879997,90.489998,89.089996,89.110001,440500,87.368355
"2021-10-12",88.980003,89.599998,88.660004,88.980003,468100,87.240898
"2021-10-13",88.559998,92.629997,88.099998,92.199997,1628900,90.397957
"2021-10-14",92.489998,94,92.360001,93.940002,1045500,92.103951
"2021-10-15",94.099998,94.660004,92.959999,93,779700,91.18232
"2021-10-18",92.370003,92.760002,90.720001,91.099998,866000,89.319458
"2021-10-19",91.510002,92.900002,90.830002,92.879997,631200,91.064667
"2021-10-20",93.190002,94.830002,92.849998,94.519997,717400,92.672607
