"","WYNN.Open","WYNN.High","WYNN.Low","WYNN.Close","WYNN.Volume","WYNN.Adjusted"
"2022-01-10",84.129997,84.699997,79.82,82.169998,3340000,82.169998
"2022-01-11",81.330002,86.199997,81.129997,85.300003,3198800,85.300003
"2022-01-12",86.169998,87.059998,85.529999,85.800003,2636000,85.800003
"2022-01-13",85.919998,87.440002,83.910004,84.230003,2403800,84.230003
"2022-01-14",91.489998,92.379997,89.029999,91.470001,10750500,91.470001
"2022-01-18",90.82,93.68,89.650002,91.089996,3595200,91.089996
"2022-01-19",91.620003,92.050003,88.949997,89.059998,3154800,89.059998
"2022-01-20",89.970001,90.879997,86.790001,87.099998,3178300,87.099998
"2022-01-21",86.870003,87.919998,84.360001,85.650002,3871800,85.650002
"2022-01-24",81.800003,84.910004,78.690002,84.800003,5484500,84.800003
"2022-01-25",82.760002,87.57,81.839996,86.459999,3114200,86.459999
"2022-01-26",87.779999,89.400002,85.220001,86.129997,3153000,86.129997
"2022-01-27",86.57,86.910004,82.019997,82.75,2870400,82.75
"2022-01-28",83.019997,84.169998,81.029999,84.129997,2296000,84.129997
"2022-01-31",83.57,85.720001,82.629997,85.449997,2949500,85.449997
"2022-02-01",85.800003,88.510002,85.160004,88.190002,2931600,88.190002
"2022-02-02",87.93,88.07,85.470001,86.120003,2750900,86.120003
"2022-02-03",85.470001,87.18,84.169998,84.230003,2631400,84.230003
"2022-02-04",83.699997,85.919998,82.82,85.5,2884400,85.5
"2022-02-07",85.919998,89.080002,85.599998,88.089996,3352500,88.089996
"2022-02-08",88.699997,90.809998,87.779999,89.839996,3248100,89.839996
"2022-02-09",91.190002,94.150002,90.370003,93.790001,3521600,93.790001
"2022-02-10",92.800003,95.57,92.279999,94.18,3357400,94.18
"2022-02-11",94.25,96.449997,91.230003,91.910004,4205400,91.910004
"2022-02-14",92.150002,94.389999,91.349998,92.059998,2323500,92.059998
"2022-02-15",93.690002,96.5,92.849998,96.260002,4095700,96.260002
"2022-02-16",93.269997,95.669998,91.879997,94.230003,4118900,94.230003
"2022-02-17",93.5,95.470001,93.040001,93.870003,2704600,93.870003
"2022-02-18",93.160004,95.050003,92.139999,93.150002,3008900,93.150002
"2022-02-22",91.720001,91.889999,87.400002,88.550003,4338800,88.550003
"2022-02-23",89.989998,90.529999,86.870003,87.190002,2156100,87.190002
"2022-02-24",82.169998,86.800003,81.699997,86.480003,4455400,86.480003
"2022-02-25",86.93,87.790001,84.699997,87.769997,2605700,87.769997
"2022-02-28",86.650002,87.620003,84.449997,86.519997,2395600,86.519997
"2022-03-01",85.910004,86.639999,81.010002,81.639999,4410200,81.639999
"2022-03-02",83.910004,89.910004,83.620003,88.629997,6974200,88.629997
"2022-03-03",87.959999,88.220001,84.599998,85.290001,4454900,85.290001
"2022-03-04",84.360001,84.870003,80.260002,81.269997,5060200,81.269997
"2022-03-07",80.540001,80.889999,72,72.07,6379900,72.07
"2022-03-08",73.010002,75.529999,70.279999,71.739998,4978600,71.739998
"2022-03-09",75.129997,78.849998,74.959999,77.269997,5575500,77.269997
"2022-03-10",75.379997,78.050003,74.82,76.529999,2337900,76.529999
"2022-03-11",77.650002,77.93,72.169998,72.32,3624700,72.32
"2022-03-14",70.199997,70.43,66.360001,66.879997,6019000,66.879997
"2022-03-15",66.419998,70.400002,66.330002,69.519997,4779700,69.519997
"2022-03-16",72.620003,75.870003,72.129997,75.169998,4677800,75.169998
"2022-03-17",74.010002,77.43,73.800003,76.910004,2918300,76.910004
"2022-03-18",75.629997,79.709999,75.309998,79.650002,3715600,79.650002
