"","JBHT.Open","JBHT.High","JBHT.Low","JBHT.Close","JBHT.Volume","JBHT.Adjusted"
"2021-07-19",163.190002,163.229996,159.259995,159.679993,1080800,158.449768
"2021-07-20",160.149994,165.470001,159.119995,164.339996,1462700,163.073868
"2021-07-21",164.880005,165,160.910004,163.630005,634100,162.369354
"2021-07-22",163.919998,164.720001,162.919998,163.660004,533900,162.399109
"2021-07-23",164.210007,167.669998,163.5,167.25,481800,165.961456
"2021-07-26",167.130005,168.490005,165.259995,165.550003,394400,164.274567
"2021-07-27",165.039993,166.279999,164.070007,165.389999,375800,164.115814
"2021-07-28",165.910004,165.910004,162.600006,164.490005,403700,163.222733
"2021-07-29",165.570007,167.75,165.270004,167.410004,326400,166.120239
"2021-07-30",166.779999,169.169998,165.899994,168.449997,493400,167.152206
"2021-08-02",168.630005,170.210007,167.339996,167.470001,450300,166.179764
"2021-08-03",167.839996,171.509995,166.660004,171.220001,411100,169.900879
"2021-08-04",170.5,170.5,167.470001,167.639999,392900,166.34845
"2021-08-05",167.649994,168.509995,165.820007,166.869995,390000,165.881241
"2021-08-06",167.119995,168.429993,166.160004,167.050003,404900,166.060181
"2021-08-09",166.220001,166.710007,165.070007,165.369995,298600,164.390137
"2021-08-10",165.5,167.940002,164.289993,167.119995,424900,166.129761
"2021-08-11",167,172.770004,166.460007,172.759995,510000,171.736359
"2021-08-12",173.350006,174.440002,172.460007,173.149994,346000,172.124023
"2021-08-13",173.190002,176.259995,172.270004,175.610001,395800,174.569458
"2021-08-16",175,176.929993,172.839996,176.809998,509700,175.762344
"2021-08-17",175.699997,175.699997,172.339996,174.869995,421800,173.833847
"2021-08-18",174.589996,176.25,171.570007,173.25,507900,172.223434
"2021-08-19",171.779999,173.440002,170.050003,171.529999,499400,170.513626
"2021-08-20",173.130005,174.75,171.199997,174.490005,264500,173.4561
"2021-08-23",174.669998,176.729996,174.660004,174.899994,309800,173.863663
"2021-08-24",175.529999,176.139999,173.479996,174.059998,395200,173.028641
"2021-08-25",174,176.039993,173.839996,175.210007,264200,174.171844
"2021-08-26",175.210007,175.809998,173.699997,174.949997,362500,173.913361
"2021-08-27",175.440002,179.880005,175.440002,179.559998,473300,178.496048
"2021-08-30",179.410004,184.380005,179.179993,182.710007,669500,181.627396
"2021-08-31",182.830002,182.830002,176.740005,177.399994,800400,176.348846
"2021-09-01",177.380005,179.679993,174.839996,179.139999,395700,178.078537
"2021-09-02",180.039993,183.119995,179.850006,182.929993,363800,181.846069
"2021-09-03",182.600006,183.740005,180.820007,181.080002,478500,180.00705
"2021-09-07",181.139999,182.179993,179.139999,179.320007,455100,178.257477
"2021-09-08",179.320007,179.740005,176.649994,177.149994,583300,176.100327
"2021-09-09",177.300003,178.710007,172.050003,172.759995,636100,171.736359
"2021-09-10",173.820007,176.169998,173.179993,173.779999,431600,172.75029
"2021-09-13",175.360001,175.360001,171.240005,171.699997,426500,170.682632
"2021-09-14",172.919998,172.929993,167.25,168.149994,654700,167.153656
"2021-09-15",169.100006,172.839996,168.490005,171.990005,693000,170.970917
"2021-09-16",172.039993,172.509995,170.820007,171.190002,358300,170.175644
"2021-09-17",171.059998,171.539993,167.669998,168.720001,905900,167.720291
"2021-09-20",166.5,169.289993,165.5,169.089996,487900,168.088089
"2021-09-21",170.429993,171.279999,167.850006,170.690002,382500,169.678604
"2021-09-22",171.690002,171.690002,168.410004,168.509995,412700,167.51152
"2021-09-23",169.220001,171.789993,169.220001,170.820007,351500,169.807831
"2021-09-24",170.050003,173.770004,169.970001,173.75,380200,172.720474
"2021-09-27",173.940002,176.789993,173.259995,174.539993,404700,173.505783
"2021-09-28",173.869995,175.100006,171.039993,171.630005,456100,170.613052
"2021-09-29",171.910004,173.050003,168.809998,170.080002,371800,169.072235
"2021-09-30",170.770004,171.559998,167.020004,167.220001,493900,166.229187
"2021-10-01",168.039993,168.589996,163.740005,166.809998,508000,165.821594
"2021-10-04",166.5,168.210007,164.740005,165.479996,417100,164.499481
"2021-10-05",166.449997,171.570007,166.169998,170.720001,423500,169.708435
"2021-10-06",169.800003,171.960007,167.899994,171.660004,380100,170.642868
"2021-10-07",172.929993,174.759995,172.470001,173.050003,341700,172.024628
"2021-10-08",168.830002,173.130005,168.089996,169.779999,577600,168.774017
"2021-10-11",167.559998,170.660004,167.399994,169.25,425900,168.247147
"2021-10-12",169.350006,171.619995,168.179993,170.389999,679600,169.380402
"2021-10-13",171.509995,172.119995,168.289993,171.360001,548000,170.344635
"2021-10-14",173.029999,175.610001,172.410004,175.240005,621000,174.201675
"2021-10-15",185,192.789993,181.729996,190.550003,1733200,189.420944
"2021-10-18",191.210007,192.690002,187.830002,189.050003,1039100,187.929825
"2021-10-19",190.029999,191.509995,187.720001,191.270004,452800,190.136673
"2021-10-20",192.039993,195.509995,190.179993,195.029999,699300,193.87439
"2021-10-21",195.070007,196.059998,193.119995,193.940002,571700,192.790863
"2021-10-22",194.619995,197.710007,194.589996,195.660004,518500,194.500656
"2021-10-25",196.100006,201.089996,196,197.729996,690300,196.55838
"2021-10-26",198.389999,200.460007,196.339996,196.479996,511300,195.315796
"2021-10-27",196.479996,198.490005,194.710007,194.770004,406600,193.615952
"2021-10-28",195.679993,198.529999,194.970001,198.009995,297700,196.836731
"2021-10-29",196.490005,199.139999,195.960007,197.190002,386500,196.021606
"2021-11-01",197.669998,199.119995,194.490005,195.779999,568600,194.619934
"2021-11-02",196.050003,196.5,192.410004,193.190002,674200,192.045288
"2021-11-03",192.899994,195.690002,192.729996,195.410004,613000,194.252136
"2021-11-04",195.410004,197.75,194.169998,197.270004,552000,196.402649
"2021-11-05",199.139999,200.490005,192.789993,193.270004,610700,192.420227
"2021-11-08",194.289993,195.5,192.050003,194.720001,368700,193.863846
"2021-11-09",194.580002,196.369995,194.020004,195.279999,271100,194.421387
"2021-11-10",194.639999,195.029999,192.690002,193.479996,217500,192.629303
"2021-11-11",194.070007,197.149994,193.929993,196.419998,483400,195.556381
"2021-11-12",196.419998,202.490005,196.419998,199.210007,490200,198.334122
"2021-11-15",199.070007,201.309998,199.039993,199.350006,402100,198.473495
"2021-11-16",199.25,202.559998,199,201.460007,468100,200.574234
"2021-11-17",201.179993,202.710007,199.509995,199.779999,401100,198.901611
"2021-11-18",199.869995,200.770004,194.130005,195.75,623200,194.889313
"2021-11-19",195.690002,195.779999,190.740005,194.259995,702800,193.405869
"2021-11-22",195,199.360001,194.289993,197.350006,422700,196.4823
"2021-11-23",197.369995,200.850006,195.990005,200.580002,525200,199.69809
"2021-11-24",199.169998,200.619995,197.580002,200.229996,379200,199.349625
"2021-11-26",195.460007,197.399994,193.809998,194.570007,297000,193.714508
"2021-11-29",196.669998,198.839996,194.330002,195.869995,366900,195.008789
"2021-11-30",194.630005,195.020004,190.100006,191.160004,890200,190.319504
"2021-12-01",194.910004,194.910004,185.910004,185.990005,664400,185.172241
"2021-12-02",185.839996,191.399994,185.149994,190.130005,466700,189.294037
"2021-12-03",191.630005,193.369995,189.929993,191.720001,463400,190.877045
"2021-12-06",193.240005,196.919998,193.020004,195.559998,479600,194.700165
"2021-12-07",197.580002,200.240005,195.869995,196.169998,440100,195.30748
"2021-12-08",197.520004,198.869995,193.360001,196.690002,340900,195.825195
"2021-12-09",196.240005,200.910004,195.110001,198.570007,451100,197.69693
