"","CB.Open","CB.High","CB.Low","CB.Close","CB.Volume","CB.Adjusted"
"2021-12-07",187.929993,189.309998,187.320007,188.039993,1895200,185.777298
"2021-12-08",188.149994,189.880005,187.729996,189.160004,1231000,186.88382
"2021-12-09",188.220001,190.580002,187.199997,190.199997,1565300,187.911316
"2021-12-10",191.399994,191.940002,190.289993,191.470001,1697100,189.166046
"2021-12-13",190.880005,191.179993,188.5,190.229996,1583300,187.940948
"2021-12-14",190.970001,194.429993,190.929993,192.539993,1952000,190.22316
"2021-12-15",192.460007,194.679993,190.429993,193.960007,1575100,191.626068
"2021-12-16",195,197.679993,194.110001,195.860001,1951100,194.304642
"2021-12-17",194.360001,194.360001,189.380005,189.770004,4053400,188.263
"2021-12-20",187.960007,188.600006,184.199997,185.770004,1726200,184.294769
"2021-12-21",187.75,189.220001,186.210007,187.240005,1086500,185.753098
"2021-12-22",186.679993,189.009995,185.600006,188.380005,1164100,186.884033
"2021-12-23",189.119995,191.679993,189.119995,190.639999,969400,189.126083
