"","TMO.Open","TMO.High","TMO.Low","TMO.Close","TMO.Volume","TMO.Adjusted"
"2021-12-08",631,638.679993,627.900024,638.150024,1267400,637.162476
"2021-12-09",638.109985,642.330017,635.070007,637.070007,1029300,636.084167
"2021-12-10",636.960022,644.780029,636.960022,642.51001,989700,641.515686
"2021-12-13",642.5,649.390015,640.450012,646.01001,1181900,645.010315
"2021-12-14",640,643.330017,624.380005,632.109985,1491500,631.385925
"2021-12-15",636.75,656.72998,633.219971,655.73999,1422800,654.988831
"2021-12-16",655.5,664.169983,651.02002,661.25,1625100,660.492554
"2021-12-17",655.469971,660.330017,647.51001,651.070007,2475800,650.324219
"2021-12-20",650.450012,656.359985,640.380005,649.320007,1001300,648.576233
"2021-12-21",648.640015,650,635.690002,645.340027,1201000,644.600769
"2021-12-22",648.719971,653.469971,645.409973,651.700012,918400,650.953491
"2021-12-23",653.26001,656.22998,649.039978,650.700012,840000,649.95459
"2021-12-27",656.909973,662.75,652.820007,662.210022,531400,661.451477
"2021-12-28",665.5,666.659973,653.22998,655.380005,818200,654.629211
"2021-12-29",660.130005,665.169983,654.210022,662.72998,644100,661.970825
"2021-12-30",664.690002,668.940002,662.380005,665.450012,555600,664.687744
"2021-12-31",665,672.340027,663.330017,667.23999,778700,666.475647
"2022-01-03",662.98999,664.27002,640.179993,644.919983,1888800,644.181213
"2022-01-04",637.299988,638.030029,612.590027,618,2598000,617.292053
