"","HIG.Open","HIG.High","HIG.Low","HIG.Close","HIG.Volume","HIG.Adjusted"
"2021-09-27",69.739998,70.970001,69.43,70.879997,1833100,69.72744
"2021-09-28",70.93,71.279999,70.379997,70.739998,2398000,69.589722
"2021-09-29",70.93,71.769997,70.690002,71.68,2077300,70.514435
"2021-09-30",72,72.199997,70.160004,70.25,2501600,69.107681
"2021-10-01",70.449997,71.699997,69.970001,71.010002,1511200,69.855324
"2021-10-04",70.849998,71.769997,69.980003,70.169998,1477900,69.028984
"2021-10-05",70.07,72.150002,69.919998,71.720001,1828900,70.55378
"2021-10-06",71.279999,72.519997,70.739998,72.43,1802400,71.252235
"2021-10-07",73.129997,73.980003,72.389999,72.419998,2125600,71.242401
"2021-10-08",71.919998,73.120003,71.419998,73.010002,2190300,71.822807
"2021-10-11",73.470001,73.949997,72.559998,72.610001,1216800,71.429314
"2021-10-12",72.400002,72.989998,71.699997,71.959999,1297400,70.789879
"2021-10-13",71.480003,72,70.540001,71.589996,1626500,70.425888
"2021-10-14",72.18,72.699997,71.419998,72.410004,1985300,71.232567
"2021-10-15",72.949997,73.099998,71.699997,72.120003,1498500,70.947281
"2021-10-18",71.940002,72.779999,71.650002,71.730003,1810000,70.563622
"2021-10-19",72.389999,72.580002,71.889999,72.339996,1267600,71.163696
"2021-10-20",72.129997,73.199997,72.080002,73.099998,1244500,71.911346
"2021-10-21",72.940002,73.43,72.669998,72.970001,1166700,71.783455
"2021-10-22",73.279999,74.370003,73.010002,74.099998,2038100,72.895081
"2021-10-25",74.5,74.5,73.230003,73.800003,1760100,72.59996
"2021-10-26",74.029999,74.290001,72.889999,72.940002,1139200,71.753944
"2021-10-27",73.589996,73.93,72.720001,72.809998,1446200,71.62606
"2021-10-28",72.839996,73.839996,72.839996,73.779999,1760600,72.580284
"2021-10-29",75,78.169998,72.699997,72.93,2521100,71.744102
"2021-11-01",73.610001,73.989998,72.239998,73.139999,1864100,71.950691
"2021-11-02",73.269997,73.68,72.739998,72.779999,1375200,71.59655
"2021-11-03",72.68,74.639999,72.68,74.07,1491700,72.86557
"2021-11-04",73.849998,73.849998,71.510002,71.940002,1635200,70.770203
"2021-11-05",72.559998,72.910004,71.230003,71.830002,1640000,70.661995
"2021-11-08",72.309998,72.32,70.699997,71.489998,1461800,70.327515
"2021-11-09",71.18,72.279999,71.150002,72.169998,1483300,70.99646
"2021-11-10",72.050003,72.940002,71.959999,72.489998,1424300,71.311264
"2021-11-11",72.489998,73.480003,72.080002,73.18,1145100,71.990044
"2021-11-12",73,73.389999,71.669998,71.75,1515900,70.583298
"2021-11-15",72.099998,72.720001,71.620003,72.330002,1122500,71.153862
"2021-11-16",72.68,72.970001,71.190002,71.269997,1881200,70.111092
"2021-11-17",71.089996,71.800003,70.830002,71.110001,1713300,69.953705
"2021-11-18",71.059998,71.389999,70.290001,70.5,1735400,69.35363
"2021-11-19",69.790001,70.489998,69.400002,69.68,2086500,68.546959
"2021-11-22",70.059998,71.410004,69.830002,70.629997,1490400,69.481506
"2021-11-23",71.25,72.599998,71.040001,72.5,1741600,71.321098
"2021-11-24",72.25,72.589996,71.440002,71.519997,1144500,70.357025
"2021-11-26",69.5,69.970001,68.57,69.25,1512800,68.12394
