"","TSCO.Open","TSCO.High","TSCO.Low","TSCO.Close","TSCO.Volume","TSCO.Adjusted"
"2021-11-15",222.429993,223.600006,221.169998,222.889999,511300,220.280991
"2021-11-16",225.089996,230.240005,223.600006,229.080002,1047500,226.39856
"2021-11-17",229.460007,230.869995,224.899994,226.330002,729600,223.68074
"2021-11-18",229.190002,229.470001,225.960007,229.229996,638200,226.546799
"2021-11-19",228.630005,231.869995,227.979996,230.559998,941300,228.379303
"2021-11-22",232.009995,232.449997,228.5,228.990005,578500,226.824158
"2021-11-23",229.259995,229.360001,221.990005,225.300003,689800,223.169052
"2021-11-24",223.320007,226.110001,222.029999,225.820007,427300,223.684143
"2021-11-26",223.339996,230.360001,223.300003,228.360001,592600,226.200104
"2021-11-29",228.839996,230.520004,226.220001,226.699997,591000,224.555801
"2021-11-30",226.699997,232.279999,223.399994,225.330002,1554200,223.198776
"2021-12-01",226.110001,229.009995,223.919998,223.919998,747100,221.802109
"2021-12-02",224.320007,229.679993,223.630005,227.649994,746000,225.496811
"2021-12-03",229.289993,230.910004,226.070007,227.960007,702900,225.803894
"2021-12-06",229.100006,230.380005,225.800003,227.460007,560100,225.308624
"2021-12-07",229.490005,234.899994,228.699997,233.339996,551500,231.132996
"2021-12-08",233.580002,235.389999,231.75,235.179993,575900,232.955597
"2021-12-09",234.850006,234.970001,230.130005,230.240005,509200,228.062332
"2021-12-10",231.210007,234.460007,230.300003,234.309998,435700,232.093826
"2021-12-13",237.880005,237.880005,229.610001,233.160004,624200,230.954712
"2021-12-14",232.899994,234.979996,230.889999,234.190002,884300,231.97496
"2021-12-15",232.600006,237.619995,231.080002,236.970001,755000,234.728668
"2021-12-16",236.949997,238.279999,231.779999,233.059998,602900,230.855652
"2021-12-17",232.630005,233.339996,224.229996,226.649994,1225400,224.506271
"2021-12-20",222.559998,223.660004,217.570007,222.300003,1111300,220.197433
"2021-12-21",222.660004,224.979996,219.029999,223.039993,741300,220.93042
"2021-12-22",223.610001,227.380005,222.949997,227.330002,459400,225.179855
"2021-12-23",228.009995,229.660004,227.539993,228.270004,330700,226.110977
"2021-12-27",229.720001,231.690002,228.779999,231.470001,381500,229.280685
"2021-12-28",232.699997,233.110001,230.509995,231.169998,343400,228.983536
"2021-12-29",231.820007,238.470001,231.539993,236.759995,525000,234.52066
