"","CMI.Open","CMI.High","CMI.Low","CMI.Close","CMI.Volume","CMI.Adjusted"
"2021-10-15",241.410004,241.5,238.029999,238.279999,673100,233.581711
"2021-10-18",235.889999,237.809998,235.539993,237.039993,745800,232.36615
"2021-10-19",239.089996,240.649994,237.440002,240.119995,772600,235.385406
"2021-10-20",240.119995,243.220001,239.220001,242.830002,907800,238.041977
"2021-10-21",242,242.130005,238.979996,240.710007,522200,235.963791
"2021-10-22",241,242.350006,239.169998,240.710007,660000,235.963791
"2021-10-25",239.699997,242.979996,238.75,241.360001,663700,236.600967
"2021-10-26",242.039993,242.039993,238.899994,238.899994,750800,234.189453
"2021-10-27",238.649994,238.649994,234.240005,234.850006,789300,230.21933
"2021-10-28",235.070007,242.820007,235,242.740005,759400,237.953766
"2021-10-29",243,243.259995,238.550003,239.839996,1070300,235.110931
"2021-11-01",240.899994,247.479996,240,245.330002,914200,240.492676
"2021-11-02",245.729996,245.729996,238.559998,242.279999,1115600,237.502823
"2021-11-03",239.509995,240.339996,233.5,235.479996,1236400,230.836914
"2021-11-04",235.869995,238.179993,234.529999,235.160004,739500,230.523224
"2021-11-05",236.050003,238.570007,235.139999,237.070007,683300,232.395554
"2021-11-08",238,239.800003,235.899994,238.059998,619300,233.366043
"2021-11-09",237.660004,238.839996,233.740005,236.199997,882400,231.542709
"2021-11-10",235.850006,241.589996,234.869995,237.710007,921600,233.022949
"2021-11-11",238,238.610001,233.770004,236.300003,656200,231.640747
"2021-11-12",236.830002,237.529999,234.039993,236.339996,754300,231.679947
"2021-11-15",237,237.690002,234.440002,236.029999,546600,231.376068
"2021-11-16",236.75,238.589996,235.279999,235.419998,1002800,230.778091
"2021-11-17",235.679993,235.679993,230.270004,231.889999,1196400,227.317688
"2021-11-18",231.059998,231.160004,226.880005,228.100006,914200,225.009415
"2021-11-19",227.339996,227.479996,223.820007,223.889999,1412900,220.85643
"2021-11-22",224.839996,230.729996,222.339996,227.979996,1327000,224.891022
"2021-11-23",228.710007,229.800003,225.940002,227.839996,1249300,224.752914
"2021-11-24",227.619995,228.949997,225.119995,225.860001,1143800,222.799744
"2021-11-26",220,221,216.729996,219.679993,696300,216.703476
"2021-11-29",221,221,216.190002,217.270004,1114400,214.326141
"2021-11-30",215.509995,216.419998,209.089996,209.75,2436300,206.90802
"2021-12-01",213.270004,215.899994,209.089996,209.119995,1447200,206.286545
"2021-12-02",210.380005,216.949997,209.119995,215.889999,1589100,212.964828
"2021-12-03",216.809998,219.529999,215.399994,217.029999,1231100,214.089386
"2021-12-06",218.770004,222.570007,217.220001,219.270004,1187000,216.299042
"2021-12-07",220.940002,222.389999,219.440002,219.770004,768200,216.792267
"2021-12-08",220,221.449997,219.149994,220.809998,651100,217.818176
"2021-12-09",219.389999,220.419998,217.410004,219.580002,859400,216.604828
"2021-12-10",221.179993,221.5,217.479996,218.100006,756700,215.144897
"2021-12-13",217.190002,217.960007,215.029999,216.119995,1008500,213.191696
"2021-12-14",215.360001,219.059998,215,216.580002,975700,213.645493
"2021-12-15",218.970001,219.589996,216.779999,218.600006,988000,215.638123
"2021-12-16",220,220.759995,217.25,218.289993,945200,215.332306
