"","HES.Open","HES.High","HES.Low","HES.Close","HES.Volume","HES.Adjusted"
"2021-08-18",66.480003,66.870003,64.68,64.739998,1693600,63.860584
"2021-08-19",63.150002,64.089996,61.93,63.59,2886800,62.726212
"2021-08-20",63.07,65.110001,62.779999,64.32,2624000,63.446289
"2021-08-23",66.199997,67.669998,66.190002,66.75,2462900,65.843292
"2021-08-24",67.629997,68.260002,66.290001,68.190002,2958800,67.263733
"2021-08-25",68.339996,69.650002,67.5,69.339996,1928000,68.398102
"2021-08-26",68.860001,69.349998,67.389999,67.400002,1502300,66.484451
"2021-08-27",68.32,70.57,68.32,69.849998,1244100,68.901176
"2021-08-30",70.099998,70.379997,69.029999,69.080002,1209100,68.141632
"2021-08-31",68.720001,69.559998,68.150002,68.75,1961800,67.816116
"2021-09-01",68.669998,69.080002,67.879997,68.809998,2159700,67.875298
"2021-09-02",70.199997,72.400002,69.879997,71.269997,2604700,70.30188
"2021-09-03",70.639999,71.690002,69.57,69.910004,1389100,68.960365
"2021-09-07",69.459999,70.709999,68.980003,70.110001,1369500,69.157646
"2021-09-08",70.739998,70.970001,68.639999,68.68,1440400,67.747063
"2021-09-09",68.230003,70.400002,67.639999,68.580002,2099900,67.64843
"2021-09-10",69.870003,70,67.709999,67.769997,1347500,66.849426
"2021-09-13",68.989998,71.510002,68.709999,71.389999,2757900,70.42025
"2021-09-14",72.019997,72.07,68.639999,68.910004,1766600,68.212822
"2021-09-15",70.330002,72.830002,70.330002,72.650002,3074100,71.914978
"2021-09-16",72.199997,72.870003,71.139999,72.160004,2555400,71.429939
"2021-09-17",72.470001,73.330002,70.82,71.339996,3927500,70.618233
"2021-09-20",68.879997,69.190002,66.199997,67.599998,3218400,66.916077
"2021-09-21",68.779999,69.160004,66.220001,67.309998,2092900,66.628998
"2021-09-22",68.660004,71.209999,68.660004,70.82,2862500,70.103493
"2021-09-23",71.269997,75.099998,71,74.699997,2839000,73.944237
"2021-09-24",74.019997,75.959999,73.720001,75.339996,2033500,74.577751
"2021-09-27",77.550003,79.440002,77.230003,79.120003,2724100,78.319527
"2021-09-28",80.360001,80.839996,77.779999,78.660004,2281000,77.864174
"2021-09-29",78.260002,78.830002,77.279999,78.360001,2290100,77.567215
"2021-09-30",78.370003,78.860001,76.849998,78.110001,2447800,77.319748
"2021-10-01",78.629997,81.470001,78.529999,81.139999,2003100,80.319084
"2021-10-04",82.589996,84.040001,81.669998,82.779999,2811100,81.942482
"2021-10-05",83.730003,84.980003,82.720001,84.110001,2776400,83.259033
"2021-10-06",82.410004,83.769997,81.129997,82.879997,3051400,82.041473
"2021-10-07",83.379997,84.010002,82.32,83.610001,3088500,82.764099
"2021-10-08",84.620003,89.349998,84.129997,89.150002,2501500,88.248039
"2021-10-11",90.839996,92.410004,88.629997,89.849998,2956800,88.940964
"2021-10-12",89.639999,92.790001,89.540001,90.050003,2504300,89.138939
"2021-10-13",88.290001,90.190002,87.489998,89.239998,1775100,88.337128
"2021-10-14",90.139999,90.900002,88.800003,89.940002,1486100,89.03006
"2021-10-15",91.129997,91.849998,89.959999,90.150002,2339600,89.237923
"2021-10-18",91.07,92.019997,87.739998,89.150002,1977500,88.248039
"2021-10-19",89.57,90.529999,88.620003,90.099998,1995800,89.188431
"2021-10-20",89,89.809998,88.349998,89.559998,2582700,88.653893
"2021-10-21",89.099998,89.790001,86.949997,87.510002,2080800,86.624641
"2021-10-22",88.370003,89.419998,86.940002,88.639999,1944500,87.743202
"2021-10-25",89.75,91.010002,88.389999,88.5,1910300,87.604622
"2021-10-26",88.730003,90.160004,88.220001,89.169998,1593100,88.267838
"2021-10-27",85.970001,89.639999,83.400002,84.68,2687700,83.823273
"2021-10-28",84.139999,85.440002,82.470001,83.639999,2245300,82.793793
"2021-10-29",83.690002,84.360001,81.629997,82.57,1990600,81.734619
"2021-11-01",83.879997,85.190002,83.389999,84.589996,1496800,83.734177
"2021-11-02",83.849998,84.389999,82.080002,82.300003,1581300,81.467354
"2021-11-03",81.019997,82.470001,80.370003,81.620003,2242000,80.794228
"2021-11-04",83.349998,83.809998,81.18,82.129997,1549400,81.299065
"2021-11-05",83.529999,83.599998,81.940002,82.550003,1775800,81.714828
"2021-11-08",83.699997,86.830002,83.18,86.410004,2016100,85.535774
"2021-11-09",86.019997,86.900002,84.639999,86.300003,1152400,85.42688
"2021-11-10",85.440002,85.82,81.300003,81.800003,1593600,80.972404
"2021-11-11",81.949997,82.860001,81.279999,81.32,931400,80.497261
"2021-11-12",80.860001,82.279999,80.550003,82.18,1552800,81.348564
"2021-11-15",81.959999,83.339996,80.870003,82.300003,1299400,81.467354
"2021-11-16",82.510002,83,80.370003,81.330002,1196700,80.507164
