"","CTSH.Open","CTSH.High","CTSH.Low","CTSH.Close","CTSH.Volume","CTSH.Adjusted"
"2021-08-02",73.559998,74.339996,73.110001,73.669998,3783900,72.720024
"2021-08-03",73.339996,74.980003,73.230003,74.900002,3061600,73.934166
"2021-08-04",74.540001,75.050003,73.550003,73.559998,3366200,72.611443
"2021-08-05",73.779999,73.879997,73.279999,73.400002,1949900,72.453506
"2021-08-06",73.25,73.790001,72.860001,73,1753800,72.058662
"2021-08-09",73.120003,73.120003,72.300003,72.529999,2938700,71.594719
"2021-08-10",72.599998,73.269997,72.309998,73.07,2645400,72.127769
"2021-08-11",73.589996,75.150002,73.190002,75.050003,4288200,74.08223
"2021-08-12",75.019997,76.769997,74.940002,76.519997,5776700,75.533272
"2021-08-13",76.389999,77.839996,76.360001,77.629997,4406100,76.62896
"2021-08-16",77.5,77.82,76.790001,77.18,2582400,76.184761
"2021-08-17",77.489998,77.5,76.25,77.010002,2564900,76.016953
"2021-08-18",76.529999,77.620003,76.419998,76.669998,3160100,75.681343
"2021-08-19",76.099998,76.449997,75.370003,75.790001,2870800,75.047615
"2021-08-20",75.559998,76.790001,75.339996,76.699997,2328100,75.948692
"2021-08-23",77.050003,77.860001,76.940002,77.360001,3818000,76.602234
"2021-08-24",77.169998,78.110001,76.870003,78.010002,3363300,77.245865
"2021-08-25",78.040001,78.360001,77.160004,77.489998,3449600,76.730957
"2021-08-26",77.449997,77.449997,76.5,76.980003,2357800,76.225952
"2021-08-27",77.300003,77.870003,77.010002,77.239998,2266100,76.483414
"2021-08-30",77.379997,77.82,76.82,76.849998,1724400,76.097229
"2021-08-31",76.970001,76.980003,76.160004,76.309998,2948300,75.562515
"2021-09-01",76.5,76.949997,76.139999,76.830002,2424900,76.077431
"2021-09-02",77,77.339996,76.709999,77.309998,2038700,76.552711
"2021-09-03",77.099998,77.099998,76.43,76.550003,1568500,75.800171
"2021-09-07",76.629997,76.919998,76.050003,76.209999,1751800,75.463501
"2021-09-08",76.080002,76.769997,75.940002,76.660004,2536300,75.909096
"2021-09-09",76.629997,77.059998,76.440002,76.480003,1849800,75.730858
"2021-09-10",76.760002,77.150002,76.190002,76.260002,1754900,75.513008
"2021-09-13",76.660004,76.82,75.660004,76.400002,1941600,75.651642
