"","HUM.Open","HUM.High","HUM.Low","HUM.Close","HUM.Volume","HUM.Adjusted"
"2021-12-22",450.279999,456.559998,448.029999,456.040009,477400,453.766968
"2021-12-23",459.470001,462.720001,455.720001,460.540009,352500,458.244507
"2021-12-27",461.980011,464.279999,457.51001,464.230011,259300,461.916168
"2021-12-28",464.98999,470,464.25,466.5,315700,464.174805
"2021-12-29",466.230011,469.859985,465.869995,469.019989,321300,466.68222
"2021-12-30",469.410004,472,465.820007,466.279999,804300,464.649384
"2021-12-31",467.220001,468.410004,463.299988,463.859985,347600,462.237823
"2022-01-03",461.380005,465.730011,456.450012,465.450012,627000,463.822327
"2022-01-04",464.079987,465.859985,458.25,458.98999,650100,457.384888
"2022-01-05",459.290009,465.190002,455.420013,455.829987,725900,454.235931
"2022-01-06",412.809998,422.130005,359.279999,367.529999,7652200,366.24472
"2022-01-07",367.029999,370.679993,351.200012,363.170013,5517300,361.899994
"2022-01-10",358.5,386.98999,358.5,385.179993,3131800,383.833008
