"","CMG.Open","CMG.High","CMG.Low","CMG.Close","CMG.Volume","CMG.Adjusted"
"2021-06-14",1396.130005,1407.48999,1380.890015,1391.329956,420200,1391.329956
"2021-06-15",1386.76001,1392.030029,1356.97998,1370.640015,317000,1370.640015
"2021-06-16",1377,1384.439941,1355.089966,1383.380005,273000,1383.380005
"2021-06-17",1380.170044,1409.430054,1379.579956,1394.22998,331800,1394.22998
"2021-06-18",1380,1405.630005,1380,1399.630005,352100,1399.630005
"2021-06-21",1390,1431.880005,1385.02002,1426.599976,327800,1426.599976
"2021-06-22",1425.819946,1451,1420.680054,1447.640015,279000,1447.640015
"2021-06-23",1442.189941,1457.890015,1442.189941,1455.369995,188800,1455.369995
"2021-06-24",1467.51001,1490.670044,1461.949951,1489.219971,321600,1489.219971
"2021-06-25",1493.550049,1520.930054,1488.650024,1518.75,538500,1518.75
"2021-06-28",1519.069946,1530.069946,1492.359985,1507.810059,280900,1507.810059
"2021-06-29",1508,1536.76001,1503.109985,1534.280029,268000,1534.280029
"2021-06-30",1535.060059,1556,1531.329956,1550.339966,382900,1550.339966
"2021-07-01",1543.900024,1546.650024,1525,1538.22998,322900,1538.22998
"2021-07-02",1550.01001,1571.900024,1546.800049,1566.369995,225600,1566.369995
"2021-07-06",1570.920044,1571.880005,1558.369995,1566.410034,220700,1566.410034
"2021-07-07",1571.099976,1597.97998,1569,1583.98999,218300,1583.98999
"2021-07-08",1557.72998,1589.719971,1547.48999,1576.050049,300400,1576.050049
"2021-07-09",1574.77002,1596.689941,1573.709961,1592.25,196500,1592.25
"2021-07-12",1589,1617.930054,1589,1615.560059,261200,1615.560059
"2021-07-13",1613.829956,1626.569946,1606.359985,1607.290039,206800,1607.290039
"2021-07-14",1614.829956,1623.050049,1602.01001,1619.97998,228000,1619.97998
"2021-07-15",1622.310059,1622.310059,1570,1581.859985,254800,1581.859985
"2021-07-16",1592.599976,1592.599976,1558.380005,1560.48999,233500,1560.48999
"2021-07-19",1533.839966,1553.199951,1525.01001,1551.160034,253500,1551.160034
"2021-07-20",1571.26001,1587.119995,1556.709961,1574.349976,431000,1574.349976
"2021-07-21",1656.849976,1778.290039,1656.849976,1755.98999,1401500,1755.98999
"2021-07-22",1747.650024,1806.660034,1741.150024,1798.400024,569700,1798.400024
"2021-07-23",1809,1833.5,1784,1830.920044,426600,1830.920044
"2021-07-26",1828.209961,1840.22998,1803.699951,1806.869995,314000,1806.869995
"2021-07-27",1806.869995,1841.52002,1796.040039,1835.119995,260000,1835.119995
"2021-07-28",1826.290039,1834.23999,1798.410034,1816.26001,261500,1816.26001
"2021-07-29",1816.26001,1853,1816.26001,1846.150024,210300,1846.150024
"2021-07-30",1840.640015,1866.829956,1833.560059,1863.439941,261700,1863.439941
"2021-08-02",1876.910034,1877.780029,1855.660034,1864.420044,204700,1864.420044
"2021-08-03",1872.589966,1888.359985,1854.47998,1884.48999,243500,1884.48999
"2021-08-04",1886.390015,1905.859985,1876.400024,1898.829956,268200,1898.829956
"2021-08-05",1912.75,1912.75,1877,1899.97998,215400,1899.97998
"2021-08-06",1890.920044,1900.98999,1885.219971,1887.150024,135500,1887.150024
"2021-08-09",1890.060059,1893.680054,1872,1875.069946,159000,1875.069946
"2021-08-10",1882.209961,1885,1861.589966,1866.790039,211100,1866.790039
"2021-08-11",1866.22998,1877.140015,1853.420044,1856.459961,137800,1856.459961
"2021-08-12",1852.849976,1884.150024,1852.849976,1877.349976,126900,1877.349976
"2021-08-13",1878.609985,1891.219971,1870.73999,1887.810059,92900,1887.810059
"2021-08-16",1878.01001,1884,1862,1877.369995,144300,1877.369995
"2021-08-17",1871.349976,1876.579956,1855,1869.609985,150900,1869.609985
"2021-08-18",1870.829956,1877,1850.180054,1851.47998,106600,1851.47998
"2021-08-19",1840,1874.449951,1840,1870.73999,129500,1870.73999
"2021-08-20",1877.800049,1897.5,1871.449951,1891.540039,124700,1891.540039
"2021-08-23",1897.040039,1936.76001,1894.619995,1912,192800,1912
"2021-08-24",1916.670044,1927.709961,1910.910034,1920.52002,130300,1920.52002
"2021-08-25",1932.170044,1940.98999,1920.329956,1924.5,165600,1924.5
"2021-08-26",1920,1924.26001,1899.030029,1906.530029,169100,1906.530029
"2021-08-27",1917.699951,1930.23999,1910.089966,1918.949951,178700,1918.949951
"2021-08-30",1919,1932.609985,1910.849976,1916.069946,164700,1916.069946
"2021-08-31",1924.800049,1924.800049,1896.050049,1903.329956,314400,1903.329956
"2021-09-01",1908,1911.380005,1892.400024,1898.339966,190000,1898.339966
"2021-09-02",1907.800049,1907.800049,1894.709961,1902.800049,145600,1902.800049
"2021-09-03",1897.130005,1921.930054,1890,1920.01001,156600,1920.01001
"2021-09-07",1916.439941,1923.959961,1892.48999,1894.819946,313900,1894.819946
"2021-09-08",1914.089966,1920.540039,1890.550049,1905.699951,261300,1905.699951
"2021-09-09",1910.219971,1930.849976,1906.369995,1909.699951,218800,1909.699951
"2021-09-10",1926.359985,1926.680054,1899.689941,1901.030029,206700,1901.030029
"2021-09-13",1900.849976,1902.900024,1852.140015,1867.189941,292800,1867.189941
"2021-09-14",1875.560059,1875.560059,1849.319946,1859.790039,208900,1859.790039
"2021-09-15",1858.119995,1885.579956,1840,1880.079956,301500,1880.079956
"2021-09-16",1900,1921.599976,1889.180054,1917.880005,357800,1917.880005
"2021-09-17",1937.72998,1937.72998,1898.849976,1909.02002,470200,1909.02002
"2021-09-20",1884,1899.939941,1859.329956,1884.329956,386900,1884.329956
"2021-09-21",1895.449951,1906.339966,1872.77002,1897.420044,340300,1897.420044
"2021-09-22",1902.52002,1940,1900,1935.040039,223800,1935.040039
"2021-09-23",1943,1958.550049,1936.920044,1944.050049,205100,1944.050049
"2021-09-24",1945,1950,1919.930054,1937.219971,136200,1937.219971
"2021-09-27",1929.25,1936.47998,1883.880005,1899.5,248800,1899.5
"2021-09-28",1878.609985,1882,1828.52002,1839.400024,295400,1839.400024
"2021-09-29",1857,1866.76001,1843.73999,1846.540039,182500,1846.540039
"2021-09-30",1847.75,1862,1816.310059,1817.52002,274500,1817.52002
"2021-10-01",1836.579956,1836.579956,1788.380005,1828.599976,298300,1828.599976
"2021-10-04",1834.890015,1836.219971,1792.160034,1804.77002,291100,1804.77002
"2021-10-05",1826.900024,1857.920044,1812.530029,1830.119995,239400,1830.119995
"2021-10-06",1811.140015,1838.98999,1806.48999,1833.890015,132300,1833.890015
"2021-10-07",1855.189941,1870.51001,1845.02002,1846.670044,142700,1846.670044
"2021-10-08",1847,1854.719971,1814.560059,1817.609985,160500,1817.609985
"2021-10-11",1816.670044,1817.800049,1776.079956,1783.859985,240100,1783.859985
"2021-10-12",1797.630005,1814.709961,1778,1803.569946,225500,1803.569946
"2021-10-13",1810,1817.599976,1791.040039,1810.550049,152100,1810.550049
"2021-10-14",1827.849976,1848.22998,1823.579956,1840.689941,254200,1840.689941
"2021-10-15",1854.72998,1854.72998,1826.099976,1830.930054,166600,1830.930054
"2021-10-18",1834,1861.52002,1827.880005,1852.670044,221200,1852.670044
"2021-10-19",1863.930054,1866.439941,1840.630005,1841.140015,141300,1841.140015
"2021-10-20",1832.069946,1833.98999,1803.439941,1823.089966,263000,1823.089966
"2021-10-21",1816.709961,1849.430054,1812.189941,1843.829956,384700,1843.829956
"2021-10-22",1843.75,1855.599976,1773.699951,1792.209961,590800,1792.209961
"2021-10-25",1792.209961,1798.719971,1761.579956,1774.97998,285200,1774.97998
"2021-10-26",1782.209961,1790.5,1740.160034,1748.47998,254400,1748.47998
"2021-10-27",1754.420044,1787.670044,1748.060059,1766.060059,221600,1766.060059
"2021-10-28",1766,1786.72998,1762.619995,1777.630005,191000,1777.630005
"2021-10-29",1759.73999,1785.839966,1756.160034,1779.030029,175000,1779.030029
"2021-11-01",1784.540039,1808.449951,1778.219971,1801.189941,274000,1801.189941
"2021-11-02",1803.709961,1810.900024,1797.790039,1799.640015,191900,1799.640015
"2021-11-03",1791.400024,1794.790039,1760,1777.109985,203300,1777.109985
"2021-11-04",1778.719971,1809.130005,1775,1808.160034,226900,1808.160034
"2021-11-05",1815,1829.439941,1791.27002,1794.349976,211100,1794.349976
"2021-11-08",1803.430054,1815.030029,1791.459961,1799.910034,160700,1799.910034
"2021-11-09",1803.699951,1815.089966,1788,1814.900024,171800,1814.900024
"2021-11-10",1794,1823,1794,1812.01001,229900,1812.01001
"2021-11-11",1815.589966,1818.969971,1805,1816,192900,1816
"2021-11-12",1819.27002,1865.640015,1815.099976,1863,346400,1863
"2021-11-15",1870,1895.98999,1832.810059,1839.380005,233900,1839.380005
"2021-11-16",1840,1850.030029,1821.619995,1827.540039,135900,1827.540039
"2021-11-17",1835.819946,1839,1796.030029,1806,181200,1806
