"","LNC.Open","LNC.High","LNC.Low","LNC.Close","LNC.Volume","LNC.Adjusted"
"2022-01-18",73.650002,74.080002,72.080002,72.709999,950600,71.518105
"2022-01-19",73.080002,73.269997,71.25,71.379997,887700,70.2099
"2022-01-20",71.480003,73.059998,70.449997,70.529999,1068300,69.37384
"2022-01-21",70.559998,70.610001,67.629997,67.839996,1627200,66.727936
"2022-01-24",66,66.730003,62.740002,66.559998,2843500,65.468918
"2022-01-25",65.760002,68.389999,63.900002,68,2351000,66.885315
"2022-01-26",70,71.57,67.970001,69.620003,2579400,68.47876
"2022-01-27",70.43,71.980003,67.480003,68.419998,1582200,67.298424
"2022-01-28",67.970001,68.620003,66.43,68.57,1230400,67.445976
"2022-01-31",67.650002,70.139999,67.400002,69.980003,1745100,68.832855
"2022-02-01",69.739998,71.410004,69.139999,71.169998,1362200,70.003349
"2022-02-02",71.010002,71.949997,70.529999,71.760002,1897700,70.583679
"2022-02-03",70.849998,70.989998,66.830002,67.260002,3205700,66.157448
"2022-02-04",67.400002,72.349998,67.400002,71.550003,2746400,70.377121
"2022-02-07",71.300003,72.760002,71.239998,71.550003,1568000,70.377121
"2022-02-08",72.410004,73.589996,72.160004,72.900002,1622700,71.704994
"2022-02-09",72.980003,74.470001,72.959999,73.629997,1152900,72.423027
"2022-02-10",73.489998,76.400002,73.260002,74.389999,1770500,73.17057
"2022-02-11",74.169998,75.860001,72.410004,72.970001,1792300,71.773849
"2022-02-14",72.980003,73.309998,70.400002,70.940002,2026100,69.77713
"2022-02-15",72.050003,73.07,70.849998,72.769997,2342800,71.577126
"2022-02-16",72.190002,74.040001,72.190002,73.510002,1192200,72.304993
"2022-02-17",72.470001,73,69.889999,70.32,1610700,69.167282
"2022-02-18",69.769997,71.029999,69.239998,69.650002,1706100,68.508263
"2022-02-22",69.220001,70.269997,68.040001,68.830002,1621800,67.701714
"2022-02-23",69.690002,70.110001,67.540001,67.830002,1625000,66.718102
"2022-02-24",65.339996,66.379997,64,66.18,2614400,65.095154
"2022-02-25",66.730003,69.440002,66.5,69.129997,2158300,67.996788
