"","EXC.Open","EXC.High","EXC.Low","EXC.Close","EXC.Volume","EXC.Adjusted"
"2021-12-09",38.031384,38.209702,37.653351,37.902996,7424151,37.323486
"2021-12-10",38.166904,38.509274,37.917259,38.452209,6183521,37.864304
"2021-12-13",38.388016,38.787449,38.145508,38.616261,10181885,38.025848
"2021-12-14",38.452209,38.758915,38.152637,38.409416,6859986,37.822166
"2021-12-15",38.516403,39.058487,38.352352,39.00856,6540190,38.412148
"2021-12-16",38.951496,39.215408,38.716122,38.773182,9132067,38.18037
"2021-12-17",38.345222,38.815975,37.952923,38.174038,17821663,37.590385
"2021-12-20",37.753208,38.159771,37.039944,38.088444,9315168,37.5061
"2021-12-21",38.402283,38.723251,38.04565,38.47361,6426768,37.885376
"2021-12-22",38.316689,38.844509,38.281029,38.780315,6015982,38.187393
"2021-12-23",38.844509,39.151215,38.794579,38.865906,4988737,38.271679
"2021-12-27",38.865906,39.129814,38.780315,39.094151,2974203,38.496429
"2021-12-28",39.122681,39.686165,39.079887,39.664764,4586082,39.058319
"2021-12-29",39.800285,40.577747,39.778889,40.406563,6610570,39.78878
"2021-12-30",40.413696,41.01997,40.392296,40.905849,8381577,40.28043
"2021-12-31",40.59201,41.376606,40.59201,41.198288,5549537,40.568401
"2022-01-03",40.727531,40.770329,39.764622,40.706135,14899334,40.083771
"2022-01-04",40.370899,41.105564,40.370899,40.663338,12404756,40.04163
"2022-01-05",40.656204,41.241085,40.56348,40.634808,13295867,40.013531
"2022-01-06",40.570614,40.741798,40.356632,40.463623,7993924,39.844963
"2022-01-07",40.463623,40.791725,40.114124,40.399429,11806803,39.781754
"2022-01-10",40.47789,40.677605,40.121254,40.527817,12321757,39.90818
"2022-01-11",40.492153,40.542084,39.308132,39.671898,13442797,39.065346
"2022-01-12",39.579174,39.978603,39.40799,39.935806,12623328,39.325218
"2022-01-13",40.242512,40.606277,40.099857,40.292439,14125430,39.676399
"2022-01-14",40.299572,40.392296,39.957203,40.114124,10372417,39.500809
"2022-01-18",39.54351,40.106991,39.46505,39.97147,14399521,39.360336
"2022-01-19",39.985737,40.570614,39.94294,40.292439,12501354,39.676399
"2022-01-20",40.513554,41.319546,40.328102,40.641941,11848442,40.020557
"2022-01-21",40.834522,40.977177,40.292439,40.492153,13227029,39.873062
"2022-01-24",40.699001,40.791725,38.98003,40.014263,14614728,39.402473
"2022-01-25",39.679031,40,39.350925,39.557774,11167351,38.952969
"2022-01-26",39.686165,40.299572,39.43652,39.728958,11772454,39.121532
"2022-01-27",40.014263,40.763195,39.664764,40.035664,15545937,39.42355
"2022-01-28",39.885876,40.920113,39.614838,40.891582,11840871,40.266384
"2022-01-31",40.47789,41.369473,40.413696,41.333809,13534347,40.701847
"2022-02-01",41.126961,41.519257,40.606277,41.248219,10562948,40.617565
"2022-02-02",41.060001,43.09,40.799999,42.860001,29696500,42.204704
"2022-02-03",42.189999,44.02,42.189999,43.790001,25588400,43.120487
"2022-02-04",42.669998,43.900002,42.619999,43.52,17454600,42.854614
"2022-02-07",43.099998,43.740002,43.040001,43.639999,14388000,42.972778
"2022-02-08",43.880001,44.02,42.959999,43.02,14755400,42.362259
"2022-02-09",43.16,43.490002,42.540001,42.599998,10408500,41.948677
"2022-02-10",42.209999,42.91,41.959999,42.040001,11356500,41.39724
