"","RMD.Open","RMD.High","RMD.Low","RMD.Close","RMD.Volume","RMD.Adjusted"
"2021-12-15",256.519989,259.779999,252.830002,256.559998,580000,255.561966
"2021-12-16",255.279999,258.070007,252.190002,253.770004,462600,252.782837
"2021-12-17",253.229996,256.589996,250.919998,252.979996,1389600,251.995895
"2021-12-20",251.339996,252.610001,245.330002,248.029999,463200,247.065155
"2021-12-21",253.710007,257.959991,251.949997,257.630005,564000,256.627808
"2021-12-22",257.190002,261.720001,257.049988,261.700012,298700,260.682007
"2021-12-23",261.179993,261.690002,257.559998,258.820007,461200,257.813171
"2021-12-27",260.410004,262.190002,257.529999,262.070007,201700,261.050537
"2021-12-28",264.309998,264.309998,259.119995,260.890015,156400,259.875153
"2021-12-29",261.230011,263.440002,260.100006,261.109985,247700,260.094238
"2021-12-30",262.359985,263.320007,261.540009,261.98999,178200,260.970825
"2021-12-31",261.130005,263.450012,260.25,260.480011,293800,259.466736
"2022-01-03",258.519989,260.040009,254.470001,259.51001,375600,258.500519
"2022-01-04",259.950012,259.950012,251.259995,253.440002,348900,252.454102
"2022-01-05",252.559998,254.169998,244.660004,244.740005,430000,243.787964
"2022-01-06",244.470001,246.509995,241.490005,241.800003,384100,240.85939
"2022-01-07",240.270004,242.130005,236.809998,237.229996,533300,236.307159
