"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"2021-06-21",130.300003,132.410004,129.210007,132.300003,79663300,131.548447
"2021-06-22",132.130005,134.080002,131.619995,133.979996,74783600,133.218887
"2021-06-23",133.770004,134.320007,133.229996,133.699997,60214200,132.940491
"2021-06-24",134.449997,134.639999,132.929993,133.410004,68711000,132.652115
"2021-06-25",133.460007,133.889999,132.809998,133.110001,70783700,132.353836
"2021-06-28",133.410004,135.25,133.350006,134.779999,62111300,134.014343
"2021-06-29",134.800003,136.490005,134.350006,136.330002,64556100,135.555527
"2021-06-30",136.169998,137.410004,135.869995,136.960007,63261400,136.181976
"2021-07-01",136.600006,137.330002,135.759995,137.270004,52485800,136.490204
"2021-07-02",137.899994,140,137.75,139.960007,78852600,139.164917
"2021-07-06",140.070007,143.149994,140.070007,142.020004,108181800,141.213226
"2021-07-07",143.539993,144.889999,142.660004,144.570007,104911600,143.748734
"2021-07-08",141.580002,144.059998,140.669998,143.240005,105575500,142.426285
"2021-07-09",142.75,145.649994,142.649994,145.110001,99890800,144.285645
"2021-07-12",146.210007,146.320007,144,144.5,76299700,143.679123
"2021-07-13",144.029999,147.460007,143.630005,145.639999,100827100,144.812653
"2021-07-14",148.100006,149.570007,147.679993,149.149994,127050800,148.302704
"2021-07-15",149.240005,150,147.089996,148.479996,106820300,147.63652
"2021-07-16",148.460007,149.759995,145.880005,146.389999,93251400,145.558395
"2021-07-19",143.75,144.070007,141.669998,142.449997,121434600,141.640778
"2021-07-20",143.460007,147.100006,142.960007,146.149994,96350000,145.319763
"2021-07-21",145.529999,146.130005,144.630005,145.399994,74993500,144.57402
"2021-07-22",145.940002,148.199997,145.809998,146.800003,77338200,145.966064
"2021-07-23",147.550003,148.720001,146.919998,148.559998,71447400,147.716064
"2021-07-26",148.270004,149.830002,147.699997,148.990005,72434100,148.143616
"2021-07-27",149.119995,149.210007,145.550003,146.770004,104818600,145.936234
"2021-07-28",144.809998,146.970001,142.539993,144.979996,118931200,144.156403
"2021-07-29",144.690002,146.550003,144.580002,145.639999,56699500,144.812653
"2021-07-30",144.380005,146.330002,144.110001,145.860001,70440600,145.031403
"2021-08-02",146.360001,146.949997,145.25,145.520004,62880000,144.693329
"2021-08-03",145.809998,148.039993,145.179993,147.360001,64786600,146.522873
"2021-08-04",147.270004,147.789993,146.279999,146.949997,56368300,146.115204
"2021-08-05",146.979996,147.839996,146.169998,147.059998,46397700,146.224594
"2021-08-06",146.350006,147.110001,145.630005,146.139999,54126800,145.527527
"2021-08-09",146.199997,146.699997,145.520004,146.089996,48908700,145.477722
"2021-08-10",146.440002,147.710007,145.300003,145.600006,69023100,144.989792
"2021-08-11",146.050003,146.720001,145.529999,145.860001,48493500,145.248703
"2021-08-12",146.190002,149.050003,145.839996,148.889999,72282600,148.266006
"2021-08-13",148.970001,149.440002,148.270004,149.100006,59375000,148.475128
"2021-08-16",148.539993,151.190002,146.470001,151.119995,103296000,150.486649
"2021-08-17",150.229996,151.679993,149.089996,150.190002,92229700,149.560562
"2021-08-18",149.800003,150.720001,146.149994,146.360001,86326000,145.746613
"2021-08-19",145.029999,148,144.5,146.699997,86960300,146.085175
"2021-08-20",147.440002,148.5,146.779999,148.190002,60549600,147.568924
"2021-08-23",148.309998,150.190002,147.889999,149.710007,60131800,149.082581
"2021-08-24",149.449997,150.860001,149.149994,149.619995,48606400,148.992935
"2021-08-25",149.809998,150.320007,147.800003,148.360001,58991300,147.73822
"2021-08-26",148.350006,149.119995,147.509995,147.539993,48597200,146.921646
"2021-08-27",147.479996,148.75,146.830002,148.600006,55802400,147.977219
"2021-08-30",149,153.490005,148.610001,153.119995,90956700,152.478256
"2021-08-31",152.660004,152.800003,151.289993,151.830002,86453100,151.19368
