"","SHW.Open","SHW.High","SHW.Low","SHW.Close","SHW.Volume","SHW.Adjusted"
"2021-12-06",345.299988,345.390015,339.839996,341.130005,1123600,339.553162
"2021-12-07",344.619995,345.820007,341.089996,341.769989,1261500,340.190155
"2021-12-08",342.5,344.079987,339.079987,342.220001,841200,340.638092
"2021-12-09",343.890015,347.309998,343.119995,343.869995,668300,342.280457
"2021-12-10",346.410004,348.119995,343.790009,346.459991,659700,344.85849
"2021-12-13",346.769989,348.549988,343.190002,346,1007900,344.400635
"2021-12-14",346.350006,346.350006,340.059998,342.76001,918800,341.175598
"2021-12-15",338.790009,345.700012,338.100006,345.640015,1413500,344.042297
"2021-12-16",347.459991,349.720001,345.540009,348.25,944500,346.640228
"2021-12-17",346.660004,346.660004,338.679993,340.440002,2325600,338.866333
"2021-12-20",337.609985,338,329,335.690002,1153600,334.138306
"2021-12-21",336.779999,339.299988,332.540009,334.48999,1045100,332.943817
"2021-12-22",334,339.209991,333.670013,338.720001,454100,337.154266
"2021-12-23",338.519989,342.130005,337.76001,338.380005,785600,336.815857
"2021-12-27",339.26001,346.529999,339.26001,345.549988,842000,343.952698
"2021-12-28",347.700012,349.670013,346.079987,348.399994,601200,346.78952
