"","NDSN.Open","NDSN.High","NDSN.Low","NDSN.Close","NDSN.Volume","NDSN.Adjusted"
"2021-11-19",268.799988,268.839996,266.5,266.959991,99700,265.157776
"2021-11-22",268.450012,270.549988,266.390015,267.51001,113100,265.704071
"2021-11-23",267.73999,270,265.660004,267.98999,82900,266.180817
"2021-11-24",267.399994,269.019989,264.190002,269.019989,73400,267.203857
"2021-11-26",264.470001,266.790009,257.279999,258.220001,89500,256.476776
"2021-11-29",261.470001,263.029999,259.350006,262.149994,142900,260.380249
"2021-11-30",263.630005,263.700012,253.669998,254.190002,252000,252.473999
"2021-12-01",256.109985,264.26001,251.360001,251.600006,176400,249.901489
"2021-12-02",251.460007,262.140015,251.380005,261.730011,180000,259.963104
"2021-12-03",263.029999,263.029999,258.600006,260.100006,150400,258.344116
"2021-12-06",261.5,264.929993,261.5,264.109985,255300,262.327026
"2021-12-07",267.660004,269.75,264.730011,264.850006,197300,263.062042
"2021-12-08",265.940002,267.899994,264.369995,266.73999,263600,264.93927
"2021-12-09",267.299988,268,263.940002,266.230011,183300,264.432709
"2021-12-10",266.790009,271.190002,266.790009,270.670013,145000,268.842773
"2021-12-13",271.48999,271.899994,266.850006,267.910004,227700,266.101379
"2021-12-14",266.880005,269.929993,261.540009,264.559998,288200,262.773987
"2021-12-15",265.109985,269.170013,264.140015,269.119995,301800,267.303223
"2021-12-16",262,263.5,247.029999,248.850006,471100,247.170059
"2021-12-17",248.360001,257.290009,246.050003,248.429993,604200,246.752869
"2021-12-20",245.320007,248.419998,241.059998,245.539993,217600,244.384079
"2021-12-21",247.990005,251.580002,245.839996,250.860001,209500,249.679047
"2021-12-22",249.830002,253.550003,248.509995,249.869995,265200,248.693695
"2021-12-23",251.289993,255.279999,251.289993,253.660004,136100,252.465866
"2021-12-27",253.619995,257.630005,253.110001,256.619995,112400,255.411926
"2021-12-28",257.23999,258.679993,255.830002,256.589996,100500,255.382065
"2021-12-29",257.109985,258.769989,253.580002,256.809998,108900,255.601028
"2021-12-30",256.809998,258.359985,254.5,254.759995,91100,253.560669
"2021-12-31",254.119995,257.220001,254.119995,255.270004,97400,254.068298
"2022-01-03",255.100006,256.140015,248.589996,251.029999,175500,249.848236
"2022-01-04",251.839996,253.220001,249.550003,250.139999,196200,248.962433
"2022-01-05",250.690002,250.690002,242.669998,242.919998,188500,241.776413
